"Species","contrast","estimate_discrete","pct_discrete","estimate_smooth","pct_smooth"
"AAGA","2023 - 2014",0.261074684802014,29.8324626930582,0.57264058645956,77.2942483691495
"ACER","2023 - 2014",NA,NA,-0.0380869743759057,-3.73707868248752
"AGAR","2023 - 2014",0.0118032900207283,1.18732237268051,-0.637225369011541,-47.1242502478
"CNAT","2023 - 2014",-0.714822687334253,-51.0721140555763,-1.10452829599631,-66.8632847405022
"DLAB","2023 - 2014",-0.254300841598051,-22.4541523216115,-0.311576894691382,-26.770870097307
"DSTO","2023 - 2014",-0.881261723015927,-58.5740099447727,-1.05643773073365,-65.2307819951165
"EFAS","2023 - 2014",-0.0646521925723275,-6.26065609135034,-0.124242490386444,-11.6834344266272
"MAUR","2023 - 2014",NA,NA,0.817235271899118,126.423119237123
"MCAV","2023 - 2014",0.150884342119773,16.2862156131891,-0.0271511823110276,-2.67859023545655
"MDEC","2023 - 2014",-0.428534938318103,-34.8537170858996,-0.397446422505234,-32.7966052421638
"MMEA","2023 - 2014",-1.40644917277385,-75.4988265281408,-1.41932538594751,-75.8122864415588
"MYCE","2023 - 2014",NA,NA,-0.72125689781078,-51.3859157562286
"ORBI","2023 - 2014",0.741053069675942,109.814384318532,0.187802383628892,20.6595048852989
"PAST","2023 - 2014",0.440779369109907,55.3917822246473,0.552845021303065,73.8191180885472
"PBRA","2023 - 2014",NA,NA,-0.671775298571962,-48.9199051825705
"PCLI","2023 - 2014",-0.559900393921017,-42.8734037422373,-0.786000230873784,-54.4336295133112
"PDIV","2023 - 2014",0.409331183915268,50.5810338077354,0.365131763691539,44.0703828098059
"PFUR","2023 - 2014",1.10527108949436,202.004305979187,0.978846763026757,166.138526360087
"PORI","2023 - 2014",NA,NA,0.951783899777215,159.032642289848
"PPOR","2023 - 2014",-0.0395944434520857,-3.88208273753227,0.355317120019998,42.6632996438673
"PSEU","2023 - 2014",NA,NA,1.3895355069478,301.298561608147
"PSTR","2023 - 2014",-0.701739193364948,-50.4277603475269,-0.567213844839662,-43.2896722650164
"SCOL","2023 - 2014",NA,NA,-2.75719879339289,-93.653068977102
"SINT","2023 - 2014",0.34456978182832,41.1382586598218,0.216120212734195,24.1251584279075
"SOLE","2023 - 2014",-0.508587826943627,-39.865581846494,-0.346040815760323,-29.2516389964274
"SRAD","2023 - 2014",-0.118825988485446,-11.2037697015813,-0.68387437670942,-49.534203525419
"SSID","2023 - 2014",0.511280354587404,66.7424723711911,0.403206561882837,49.6616003556695
