sample_name,host_genus,host_species,date,era,subregion,site,latitude,longitude,depth,dominant_clade,A,B,C,D,Species_raw,Species
CR-1,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.9998291936516974,1.7080634830261195e-4,0,0,astreoides,PAST
CR-10,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,B,6.732306656568206e-4,0.9330977026003534,0.06622906673398972,0,faveolata,ORBI
CR-11,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,1.8584769781164332e-4,0.9920550109185522,0.0019514008270222496,0.005807740556613849,faveolata,ORBI
CR-14,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,C,0,0.4185490045941807,0.5814509954058193,0,faveolata,ORBI
CR-15,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,52,C,0,0.47692691444250446,0.5230730855574957,0,faveolata,ORBI
CR-16,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,51,B,0,1,0,0,labyrinthiformis,DLAB
CR-17,Pseudodiploria,strigosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,56,C,0.01123595505617977,0.02496088749822215,0.7063006684682123,0.25750248897738587,strigosa,PSTR
CR-18,Pseudodiploria,strigosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,D,0,7.037651435178203e-4,0.3723922987985724,0.6269039360579098,strigosa,PSTR
CR-19,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,1.890144785090538e-4,0.5205080709182325,0,0.4793029146032586,labyrinthiformis,DLAB
CR-21,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,B,0,1,0,0,labyrinthiformis,DLAB
CR-22,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,50,A,1,0,0,0,astreoides,PAST
CR-23,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,C,3.6201715961336567e-4,0.07790609274879631,0.8904898092169569,0.03124208087463345,faveolata,ORBI
CR-24,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,0,0.9916509676314438,0.008349032368556261,0,faveolata,ORBI
CR-28,Siderastrea,radians,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,A,1,0,0,0,radians,SRAD
CR-29,Siderastrea,radians,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,50,D,0.0012127949871140503,0,0,0.998787205012886,radians,SRAD
CR-3,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,52,B,1.4005602240896363e-4,0.9835784313725491,0.0015056022408963504,0.014775910364145654,labyrinthiformis,DLAB
CR-30,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,A,0.9994224104736235,5.775895263765885e-4,0,0,intersepta,SINT
CR-32,Pseudodiploria,strigosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,45,B,0,1,0,0,strigosa,PSTR
CR-33,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,50,A,0.9996697853604843,3.3021463951568526e-4,0,0,astreoides,PAST
CR-34,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,51,A,0.9960560911481157,0.003943908851884311,0,0,intersepta,SINT
CR-4,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,A,0.9995630325540747,4.369674459252786e-4,0,0,intersepta,SINT
CR-41,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,64,A,0.5260068733830173,0.00196934007800131,0.4720237865389814,0,intersepta,SINT
CR-44,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,65,A,0.9997929520891133,2.070479108865791e-4,0,0,astreoides,PAST
CR-45,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,65,C,6.115459882583171e-4,3.0577299412915855e-4,0.9977984344422701,0.0012842465753424603,faveolata,ORBI
CR-46,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,64,A,0.9993617021276596,6.382978723404255e-4,0,0,intersepta,SINT
CR-47,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,62,A,0.9993404380879648,4.859929878154615e-4,0,1.7356892421980768e-4,astreoides,PAST
CR-48,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,61,A,0.9995017438963628,4.982561036372695e-4,0,0,astreoides,PAST
CR-49,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,64,A,1,0,0,0,astreoides,PAST
CR-5-A,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,A,0.9998297334111694,1.7026658883051172e-4,0,0,astreoides,PAST
CR-5-B,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,0,1,0,0,astreoides,PAST
CR-51,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,63,D,0,2.549812406658653e-4,0,0.9997450187593342,faveolata,ORBI
CR-52,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,57,A,0.9985485131564257,2.605232796159143e-4,0.0011909635639584602,0,intersepta,SINT
CR-53,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,57,A,0.9997271487039564,2.7285129604365623e-4,0,0,astreoides,PAST
CR-55,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,C,2.774848770741995e-4,0.0023586214551306905,0.9973638936677951,0,intersepta,SINT
CR-56,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.9990643075876148,3.827832596121129e-4,5.52909152773052e-4,0,astreoides,PAST
CR-57,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,56,B,0,0.7926471722860889,0.207352827713911,0,faveolata,ORBI
CR-58,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,56,B,0,1,0,0,faveolata,ORBI
CR-59,Siderastrea,radians,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.9200142725461627,0.00454937408938182,0.07543635336445545,0,radians,SRAD
CR-6,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,52,D,0,6.023370678231539e-4,0,0.9993976629321768,faveolata,ORBI
CR-7,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.994279176201373,0.005720823798627001,0,0,intersepta,SINT
CR-8,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,C,2.817496654222724e-4,4.5784320631119256e-4,0.9852433612735085,0.014017045854758051,faveolata,ORBI
KL-003,Diploria,labyrinthiformis,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,31.824148,B,0.01441715569079185,0.98159820328914,0.0039846410200681,0,labyrinthiformis,DLAB
KL-015,Diploria,labyrinthiformis,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,32.8084,B,0.00406281926394069,0.7738601534842833,0,0.222077027251776,labyrinthiformis,DLAB
KL-025,Diploria,labyrinthiformis,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,31.16798,B,0,0.8394116555308091,0.16058834446919085,0,labyrinthiformis,DLAB
KL-102,Pseudodiploria,strigosa,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,51.837272,B,0,0.9996993023815252,3.006976184748617e-4,0,strigosa,PSTR
KL-103,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,51.181104,A,0.9584702242352716,2.8707218270549584e-4,0.0412427035820229,0,intersepta,SINT
KL-104,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,50.85302,C,0.018950313718840095,7.2070544344582e-4,0.9803289808377141,0,intersepta,SINT
KL-105,Orbicella,faveolata,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,50.85302,B,8.694140149539211e-4,0.9991305859850461,0,0,faveolata,ORBI
KL-106,Pseudodiploria,strigosa,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,49.868768,B,0.0013531799729363998,0.998346113366411,3.007066606525334e-4,0,strigosa,PSTR
KL-107,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,49.868768,C,0.005694708088337421,0.018287883698319372,0.9760174082133433,0,intersepta,SINT
KL-108,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,50.196852,A,0.9555139520370866,0.0054827493982348196,0.039003298564678615,0,intersepta,SINT
KL-110,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,55.118112000000004,B,0.04345323741007194,0.9120863309352518,0.04446043165467626,0,labyrinthiformis,DLAB
KL-112,Porites,astreoides,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,62.664044,A,0.9796862946772948,0.01748521470815119,0.00282849061455387,0,astreoides,PAST
KL-113,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,62.664044,B,0.0012787723785166198,0.998437055981813,2.8417163967036084e-4,0,labyrinthiformis,DLAB
KL-115,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,63.648296,C,0.0013939363767610801,0.0020411211231144504,0.9965649425001245,0,intersepta,SINT
KL-116,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,57.742784,B,4.899859129050039e-4,0.9958351197403074,0.00367489434678753,0,labyrinthiformis,DLAB
KL-117,Orbicella,faveolata,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,54.13386,B,0,0.9949508549885553,0.0012117948027467304,0.0038373502086979914,faveolata,ORBI
KL-118,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,53.149608,A,0.94933544689672,3.0484087306426044e-4,0.05035971223021581,0,intersepta,SINT
KL-119,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,51.509188,B,0.07197608831895094,0.9252277876874125,0.0027961239936363995,0,labyrinthiformis,DLAB
KL-121,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,51.181104,B,0.02716996785232811,0.9716893083065437,0.00114072384112827,0,labyrinthiformis,DLAB
KL-122,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,49.540684,B,0.0013584649346238702,0.9986415350653761,0,0,labyrinthiformis,DLAB
KL-125,Pseudodiploria,strigosa,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,46.259844,B,0.01671776479435414,0.9829351535836178,3.470816220281136e-4,0,strigosa,PSTR
KL-126,Orbicella,faveolata,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,49.868768,B,0,1,0,0,faveolata,ORBI
KL-127,Dichocoenia,stokesii,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,53.477692,B,9.507829977628634e-4,0.999049217002237,0,0,stokesii,DSTO
KL-156,Solenastrea,hyades,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8.530184,B,0,1,0,0,hyades,SOLE
KL-158,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,6.56168,B,0.003348789283874291,0.9921432251416796,0.0038639876352395608,6.439979392065947e-4,labyrinthiformis,DLAB
KL-160,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,6.233596,B,0.0053160753495897295,0.9946839246504102,0,0,faveolata,ORBI
KL-162,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,6.56168,B,7.260055176419341e-4,0.9992739944823581,0,0,labyrinthiformis,DLAB
KL-163,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,6.233596,B,0.0016687061964623395,0.9910446100789854,0.005117365669151179,0.0021693180554010396,faveolata,ORBI
KL-165,Porites,astreoides,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,7.545932,A,0.999084249084249,9.157509157509155e-4,0,0,astreoides,PAST
KL-168,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,7.874016,B,0.009855453350854138,0.9901445466491458,0,0,faveolata,ORBI
KL-169,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8.2021,B,0.0022002933724496595,0.9891985598079743,0.007867715695426047,7.334311241498864e-4,intersepta,SINT
KL-17,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,32.8084,B,0.009900990099009901,0.9838237344861246,0.004253242225631011,0.0020220331892344106,bournoni,SOLE
KL-170,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8.2021,B,0,0.9992700197094678,7.299802905321556e-4,0,labyrinthiformis,DLAB
KL-172,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,7.874016,B,0,0.9995977312039905,4.022687960094937e-4,0,faveolata,ORBI
KL-173,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8.2021,B,0,1,0,0,faveolata,ORBI
KL-174,Pseudodiploria,strigosa,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8.530184,B,0,0.9997410109207062,2.589890792938232e-4,0,strigosa,PSTR
KL-177,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,7.874016,B,2.7529249827942196e-4,0.9997247075017206,0,0,faveolata,ORBI
KL-178,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8,B,0,1,0,0,labyrinthiformis,DLAB
KL-232,Orbicella,faveolata,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10.826772,D,0.00320378882852765,0.00919348098620978,0,0.9876027301852626,faveolata,ORBI
KL-233,Orbicella,faveolata,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,8.2021,D,3.6874855957593915e-4,7.835906890988708e-4,0.0028578013367135204,0.9959898594146117,faveolata,ORBI
