sample_name,host_genus,host_species,date,era,subregion,site,latitude,longitude,depth,dominant_clade,A,B,C,D
CR-1,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.9998291936516973,1.7080634830261192e-4,0,0
CR-10,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,B,6.732306656568207e-4,0.9330977026003535,0.06622906673398973,0
CR-11,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,1.8584769781164335e-4,0.9920550109185523,0.0019514008270222552,0.005807740556613855
CR-12,Madracis,decactis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,0.015783376773819868,0.9766869388937157,0,0.007529684332464523
CR-13,Madracis,decactis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,B,4.1184041184041183e-4,0.9845559845559846,0,0.015032175032175032
CR-14,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,C,0,0.41854900459418065,0.5814509954058192,0
CR-15,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,52,C,0,0.47692691444250446,0.5230730855574957,0
CR-16,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,51,B,0,1.0000000000000002,0,0
CR-17,Pseudodiploria,strigosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,56,C,0.011235955056179775,0.024960887498222152,0.7063006684682123,0.25750248897738587
CR-18,Pseudodiploria,strigosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,D,0,7.037651435178203e-4,0.3723922987985724,0.6269039360579098
CR-19,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,1.890144785090538e-4,0.5205080709182325,0,0.4793029146032586
CR-20,Montastraea,cavernosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,51,C,7.371483996120271e-4,7.759456838021338e-4,0.9984869059165861,0
CR-21,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,B,0,1.0000000000000002,0,0
CR-22,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,50,A,0.9999999999999999,0,0,0
CR-23,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,C,3.6201715961336567e-4,0.07790609274879631,0.8904898092169569,0.031242080874633458
CR-24,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,0,0.9916509676314437,0.008349032368556261,0
CR-25,Siderastrea,siderea,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,B,3.1414709064888827e-4,0.9996858529093506,0,0
CR-26,Porites,porites,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,C,0,3.044757941743631e-4,0.9996955242058255,0
CR-27,Eusmilia,fastigiata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,3.35371359285917e-4,0.9996646286407139,0,0
CR-28,Siderastrea,radians,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,A,1,0,0,0
CR-29,Siderastrea,radians,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,50,D,0.0012127949871140534,0,0,0.9987872050128855
CR-3,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,52,B,1.4005602240896358e-4,0.9835784313725489,0.0015056022408963584,0.014775910364145656
CR-30,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,A,0.9994224104736231,5.775895263765884e-4,0,0
CR-31,unknown,unknown,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.9997170917027037,2.8290829729620497e-4,0,0
CR-32,Pseudodiploria,strigosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,45,B,0,1.0000000000000002,0,0
CR-33,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,50,A,0.9996697853604842,3.302146395156852e-4,0,0
CR-34,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,51,A,0.9960560911481157,0.003943908851884312,0,0
CR-36,Montastraea,cavernosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,C,0,4.580529227299954e-4,0.99954194707727,0
