sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
CR-4,201396,0.5525182813418392,-0.06375972937920484,0.16436926108292585,-0.3280124720477479,0.010091834784139561,0.0019197297286716384,-0.0016554531774597087,-0.01353344176679426,-0.07094160088086639,0.06187823516724336,0.007709585958531104,-0.021599491647709402,-0.0013521855352876982,-9.38465898079467e-05,-0.00012074280363151644,0.0008695942616330699,-0.006887264513472758,0.0020673986377703754,-0.00447365767466431,0.0002800190684044208,-0.01614733376046884,-0.018733905668382317,0.0003135002021890193,-0.0488728716425528,0.00139688771447581,0.007505295421576688,-0.015321689069510643,0.016326723631575443,0.0216074024313591,-0.005502090850341336,-0.03109727260211386,0.026424404709611906,0.01062180072738403,-0.01900267002806733,-0.000153827589406524,0.02165760799669947,0.02036759442777689,0.019506458818376142,-0.012087395928904602,0.004271949445902781,0.0001329976175383744,0.00027511419669173356,-0.0019108674453468687,0.002896343045151365,-0.001154372377430678,0.021743282860647306,0.04206684978672709,-0.013110012878619985,0.005975431523376289,6.527924047921674e-05,0.015175791517006489,-0.0009655402759210343,0.014847529976307207,0.002927653383068097,-0.0007982745432815108,-0.001132796083572256,-0.0021648869375717294,4.094530118371251e-05,0.004272605058475111,0.00010168632755032945,-0.0030248932336323755,-6.909822452967345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-5-A,201397,-0.3379450144662123,-0.07492754610052793,-0.09003691418235107,-0.02415585115835207,0.040306179173347334,-0.014977040778808536,-0.0848939317167503,-0.034593250346964435,-0.059787656214810414,-0.061424322544500705,0.025394172941835512,0.010627094717829862,0.04894369215048521,-0.008581135075954264,0.00767995290010956,-0.004269283246937447,0.037979245687182785,0.00270314989389815,0.07547389371066938,-0.033611976969639606,-0.026264243457063994,0.006351852462241689,0.0667048738483351,-0.011548212074303982,0.0006006279885150613,0.011269072649815318,-0.007462271610681585,-0.005515468207029813,-0.053478815654858194,-0.017000931538025493,0.0075623838619243815,-0.025854042813603137,0.019707650102316718,-0.01944521448862219,-0.006937685625348695,-0.0022332083230897737,0.007908998172452844,0.01821973629919156,-0.01424751035054787,-0.038530891458483166,0.006955849701454573,0.0007440958634798507,-0.0031181003465531837,-0.013252221988547525,0.017890219406797785,0.010870650401736195,0.00036289568793334914,0.009230890391953973,0.0055111874515355735,-0.014407106855513347,-0.007614853344719034,0.005764695460759028,-0.001079254753886309,0.0061588949363604,-0.002844002297062779,0.0025385389564755306,-0.0025651658827070202,0.0009474997678049103,-0.00010543962478608787,-0.0006007850231229452,0.0001908467780175247,-6.922099159612451e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tr-34,201403,-0.3177921297774052,-0.1704540311316495,-0.14215346604444712,-0.03292879223796669,0.02006298809439447,-0.01068754194052152,-0.039865177695979456,-0.04725898149750636,0.08909857744045079,0.09392662502686216,-0.04681873956108588,-0.002164093867727528,-0.018818910233567892,-0.014549174365397337,0.047698540458462925,0.0009271444727475119,0.00886973412142023,0.004854707577180864,0.008152110388693214,0.03029336195908436,0.02965719596978962,-0.00820522171613047,0.0028920311212472997,-0.025370480419501896,0.0007207194759356586,0.01955433140056214,-0.015319894431153884,-0.01106662891506982,-0.012106344421314525,0.009522391223200111,-0.027071840870998273,-0.04324700906108503,0.017931600407901493,0.009834963084062103,0.0014385094954121739,-0.025137758742347353,0.00845513017760544,0.010047154796678734,0.010838919622838755,0.026245816504775917,-0.011275554322907885,-0.001438119170747147,-0.013107804755416431,-0.014599580339060232,0.0033231282893491183,0.005882717659625546,0.0038961030101224287,0.022308005942972827,-0.027872217236223205,0.013795205226892133,0.010952942681694012,-0.013245397804292734,0.0006734488264884104,-0.003629771742351314,0.0009476499179028427,0.003945886795541916,-0.0025917041789010565,-0.006840577485064441,0.0002119347818429522,-0.001282945226369539,1.4931631264015282e-05,-0.00012935199453476538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-1,201405,-0.34810722272460365,-0.05509890254444855,-0.07908145727634829,-0.022079444160649584,0.005161645079097056,0.013139473851646164,-0.10654482221001713,0.00125055459487309,-0.05989038450426666,-0.047534986340960365,0.010029447494299291,0.019906712011751544,0.01940388513723529,-0.028895053338359563,0.006049473280435302,0.002569118733803114,-0.04154696019420482,-0.010656809962001242,-0.04983866465840824,-0.013563531612902123,0.007086623695618421,0.004720545050720537,0.00011099262507051782,0.014648347913445678,-0.0002142999132408631,-0.010511479811776286,0.004432152807748377,-0.00541945679035951,0.012311019156154521,0.0017968077023198725,0.0015140719653247599,-0.0001287174399236536,0.01827193271664633,0.003458997105296392,-0.003618302523864407,-0.0012190118571444942,0.003655757402771978,-0.0012438798487553276,-0.004911621753270516,0.012302794025440865,-0.009301481187074192,-0.004292627679950662,0.011699200845601686,0.011425144689561077,0.002437250738451761,0.0005239998554935695,0.006749529635509068,0.002179074052785863,0.009793238270868752,0.020903275134371527,-0.022123186578905656,-0.012272279060103714,0.00406935153300988,-0.0076550894729599745,0.006385573140302711,-0.0001972210843070604,0.0014347041977909537,-0.00023679789680645556,4.177714547567463e-05,-0.0001349900633491137,-8.548139559002439e-05,-0.00021312292386016564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-7,201411,0.5427923094602443,-0.07543610960418705,0.18372044931374598,-0.35365209897314687,0.02389653415158367,0.023152568089323373,-0.0005097960089573358,-0.0075852768247355465,-0.05911768378602528,0.06188245541496306,0.018805756054310886,-0.017327077341962708,-0.004945104509016737,0.004776007789461843,-6.22737486831293e-05,-0.0004925818118610872,-0.0007398679863700304,0.0049978638773919065,0.003873630614408229,0.00134469845972772,0.004877787780314397,-0.0034616748205807614,0.0012996332533939312,0.014790348018639862,-0.0003108895837487864,-0.0032624623647382798,0.006729652741311912,-0.005234467402247232,-0.004515187346490916,0.009503531779138059,0.015734967148058505,-0.009260801645276739,-0.0024251961212797034,0.0037008384849432025,0.0019863153707897455,-0.0035541056678538786,0.0016452556494715943,-0.01124260751974964,0.00644629787531072,-0.0033485454680934256,-0.006840137144203519,0.021306037605841936,0.004274087641184351,-0.0012856314221846754,0.00119266202806279,-0.01721591495361695,-0.036906948925350944,0.02619713506766843,0.017731711186791614,0.008130307468087645,0.0026225418199477962,2.501084720853746e-05,-0.006993488866919647,0.0012370678978565024,-0.001388641804875863,0.0033688055244509114,0.0029508185858818027,0.00025088119008367005,0.0013395778200611243,-3.2341398085319016e-05,-0.001578982314375089,-3.27768637008381e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-28,201421,0.5508260254673416,-0.06817669871442934,0.17263603313257309,-0.3413403529653928,0.01572081362686196,0.010378624213599776,-0.0011370791128790323,-0.011012877606472302,-0.06301742042413468,0.06031048211178636,0.015263632127992947,-0.0153073120672157,-0.0015704590426819083,0.0008939983868944928,-0.00022759900559247184,0.0004044996893824721,-0.004044842829582801,0.002259962989921948,-0.0016206196299964892,0.0006587659867013691,-0.007798938348459846,-0.01532433552055913,0.0011439792236547105,-0.016705782935264844,0.000494830546775414,-0.0002997897521405701,0.0014953861658485996,0.0007584057419923752,-0.0016029785361054679,0.02090881632132328,0.00912200316253997,-0.0015428179518404922,-0.002188691640519336,0.0024647341459977427,0.001523861127157162,-0.0038874628050842167,-0.0006729633361118564,-0.009620770960801599,0.007682754272811402,0.001845615732450301,0.013331490328204167,0.028171052802442968,0.006799034183369697,0.0015113135758683916,0.0019106439241989696,0.012988600613386862,0.016850064063913348,-0.0009489223624517809,0.0024730615524548353,0.001585617950411723,-0.0007311684719599062,-0.0002996976539404477,-0.0010146111878972773,0.0018450354842550962,-0.001558907032647301,0.004344790326235131,0.004445372795038663,0.0010452336517733358,0.001283458513872602,-0.0005230598243651613,-0.006517887045186286,0.00011914888982170457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-22,201426,-0.299910697493962,-0.1826571080071596,-0.13849823226175703,-0.029677188291477186,-0.07790531113859299,0.0668893554322862,-0.14730368957136156,-0.11492003906336236,-0.03789362725060645,-0.05587648187569001,0.028277945054519388,0.02625033518025673,-0.06195348901249612,0.01562256075654745,0.013398477167545605,-0.0019033942150226487,0.01091723763321738,-0.0038784502293645546,0.02597851344150498,-0.003106723957863934,0.003757219207381261,0.003977962712370094,0.012567094397480065,0.010095743512852256,-0.00010481443572786553,-0.02213621750674101,0.026110086303695615,0.037994849782759514,0.027038636122678296,0.004036656505797453,0.004956158016074735,0.03643612802583616,-0.02935691273853759,0.024628054097899952,0.03539419024369593,-0.01177649413017156,0.007325423207861419,0.006074614298158051,0.004520831480888122,-0.005592773406146915,-0.0019442344586554157,0.003636676862803205,-0.021346056158603768,-0.014765757090192212,-0.01768240796138179,-0.0028819981342783226,0.0013655522575201917,-0.009622857016825956,0.0028492037325984414,0.02099558390921562,-0.0029603442289851223,0.0014214090785716292,-0.0022082821687535734,0.005683329066024607,-0.006759590997549736,-0.00107683330439547,-0.0016374551872931004,-0.0012771021585501086,-5.4439951336687506e-05,7.347978549232016e-05,0.0003328518611195062,4.661786102066006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-44,201433,-0.28734056443093925,-0.08788906506473602,-0.05491833846439174,-0.007240887071347362,-0.08784663796826118,0.07047486434464198,-0.10650554745940768,0.10670516760437623,-0.11194824175658928,-0.12207129617363877,0.06804007943660058,0.002605290305761024,-0.05849483082416144,0.13238075329622984,-0.09169218753858292,0.002023758752467376,0.005144708426884749,-0.0016856109260603531,0.010960394406034876,0.09869685428577639,-0.10832223610932205,0.017191950062431977,-0.015188230167115877,-0.008552207038987129,-0.00044811564471877686,0.014533137800964567,-0.054358141228855586,-0.04135284302008371,-0.038307791338154845,-0.0050536190435547974,-0.012073364718327735,-0.03226729011622237,0.0032471796693059087,-0.00414869175312,0.003611739655741262,-0.0005794619065378348,0.0003971717804150505,-0.008692560349046585,-0.0003529487676000685,0.019820173937643442,-0.002376807792847522,0.0010175351223475596,-0.012598412760813709,-0.009337611248296015,-0.0022342241037282234,0.0025338409422813036,-0.006312112454432671,-0.013186051249355115,0.006982551477638925,0.005976323840745883,-0.0006398815861305851,0.0028163146327286363,0.0009453469158719189,-0.0021326383219632465,0.0017122079398581502,0.0008740915521698514,-0.0006738246675957023,-0.0021899168809088603,3.204692175023845e-05,0.0003377764737481603,-6.153196967936762e-06,-4.321037574321818e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-30,201434,0.5993033974391582,0.0671978749218088,-0.12423805343458931,0.13714372402678116,0.021105387015779537,0.028092401679342554,0.0021835366749788938,-0.005220454363617794,-0.021077660307878113,-0.004493889448955339,-0.04194894015767461,-0.040873951853577645,-0.006806630944924045,0.003878389650897417,0.002820996216165355,0.0004971185818117,-0.04801393735028645,0.06981385981366288,0.026269985414752554,0.021414197751391664,-0.019464297722999856,-0.10134997321279274,-0.0026845766947146956,-0.003745998168554831,0.0009203261308584848,-0.04522980131379176,0.07061467374254847,-0.03983647941380795,-0.0005070902953098407,-0.023153842432769186,-0.0015067610181773426,0.002908036752391023,0.02676427798827277,-0.05201623827801895,0.0389080557632617,-0.018749953878793104,0.02402725190736537,-0.035813282907331115,0.029627896243495058,-0.009438447661684597,-0.00045647434940953994,-0.014281449817368733,0.0015640155726240573,-0.005036927556117212,0.0027728342685381653,-0.004728654093258695,-0.004690692239327823,-0.008046708398061743,-0.010177648492445155,-0.0031976553558503216,-0.004088701390367595,-0.0007310126169942583,0.01516284206839843,0.00394181802999411,-0.001682054033715502,0.0031245580339638247,0.0032469779469541625,4.7059520407845667e-05,-0.001523620652078883,-5.910893399659654e-05,0.00028127682149844117,-5.202671620510663e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-31,201435,0.6241148913934187,0.06098290873028257,-0.10290587225067487,0.07663356285797036,0.010483000063977503,0.005691427831543186,-0.0031017486259340005,-0.0035106819769673368,-0.002694001182659263,-0.0242020899432041,-0.04686630019014838,-0.021448369774218767,-0.0009645568115368567,-0.0005881049669879322,-0.002415997731345165,0.0009283279957219595,-0.024810545478889223,0.04561595939532238,0.01712769636482113,0.0016199267799804837,0.012800901649243234,0.03225029332829004,-0.0006844583360888569,0.021461255694641877,-0.0008286947388835294,0.015922184002223425,-0.02693101738330813,0.013964600872792558,-0.00016260060118642296,-0.002559737272419096,-0.025313957287724988,0.016667128017574608,0.0029507518497969647,-0.0026956201976546575,-0.0063319363200642015,0.0022606631213377476,-0.010773617616780085,-0.009352760476940133,-0.0014061944158263212,-0.015274606791073782,-0.04944251199769065,0.03380361122730502,0.006913487988596524,-0.00860412372058068,0.004332594025113596,0.0013713945946397653,0.0064489106511172335,-0.01887665856042233,-0.021996332286231178,-0.006345307434630922,-0.0139557027833779,-7.595308748517132e-05,-0.013169642676248526,-0.0014867531594094916,-0.00016523394022594193,0.004722947004503401,0.005629652682514352,-5.246952626342548e-06,0.0019077307935439804,7.893661783232717e-05,0.0006921870198085889,-3.903209134431779e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
