sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
CR-14,201407,-0.4148923209508399,-0.18468987771480072,-0.06432630464778975,-0.1669584983400291,0.08007346386306145,-0.00889157107513822,0.010126514828209743,-0.05270261375026924,-0.04966118111666922,0.011542088261919041,-0.01285541984019233,-0.005273783310197332,0.016692371109322996,0.03995952586005941,-0.006099613957217055,0.044048111963102654,0.004644045435241082,0.025969281340309756,-0.00352855879148659,0.0011090441620820058,-0.003143526514340256,-0.016584450224330447,0.028331012390524934,0.015445433131541618,-0.046262875932016265,-0.013891461909406842,0.024894713550165568,-0.017196565005838618,0.017325533103665153,-0.008740294010932978,-0.06666899912616608,0.00855295665797895,0.013557606230612316,-0.0203781458550686,-0.02833959432112412,0.01865756740175533,0.017743495839060486,-0.002605836869824557,-0.0005265489878310009,0.023130074891199753,-0.01459753317029244,-0.004530279357377642,-0.023699616262092223,0.001443597726096674,0.0017614510220918976,-0.002791481704948465,0.003918333519004499,-0.0023399097319048412,-0.0023873333406988677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-15,201408,-0.4046773033054696,-0.18072636498642267,-0.031077861433132622,-0.08324034881552461,0.011444885458821092,0.004303281354125594,0.020708917284970044,-0.09552907545754573,-0.104885339687537,0.013861798993708135,-0.01989179270856817,-0.007645256450095952,0.034085136416559865,0.0410692893066694,-0.03290909303097952,0.05464014915019783,-0.010603263113302171,-0.010390090540559466,-0.00200597229866839,-0.01589274587404862,0.030320508741436086,0.038741884342850794,0.04048851856653464,0.026830016078948395,0.012483422741989518,-0.0035892616752003365,0.058062621795112415,-0.029029869138576032,0.010747555161510032,-0.0056218919150821285,-0.00978151530324217,0.0029506542481204682,0.06843046915600078,-0.018042911825472057,0.07357089890991976,0.0016858657697692314,-0.004907290034679998,0.015370304058824318,0.0006625570110260591,-0.042068301301070206,0.024107298523889716,-0.02248697246839157,0.04910429690073861,0.005186453238912106,-0.002598093944713955,-0.004561650882361062,0.0037164127882011217,0.004588819870723957,0.005952168724881027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-8,201412,-0.4007243257360598,-0.19542763096386678,0.022805675478233336,-0.1608082816261226,0.07544513179321514,-0.023221612966223194,-0.11069691616172281,0.08021795965330981,-0.007721342789071539,0.0015257076838264062,0.028620227831482995,0.01472953627778924,-0.0029130636047371957,-0.0013276309344292915,0.010674714998830792,0.013303027886028893,7.083251044818225e-05,-0.02738751325087753,0.0055794059442775,0.0010506184082096687,-0.01583574761421715,-0.007004026494541187,-0.006868891485274316,-0.003479925356553627,0.02763084274554243,0.0018168159266625625,0.027727664199884025,-0.019043993949607547,0.05007618449646075,-0.009009614224573243,-0.07666734245514081,0.010455519715519666,0.02182679934537169,-0.03640118840826073,0.012053713746930053,0.029899646772822374,0.04697199952415278,-0.020815139625673714,0.003628155240758138,0.005928928268469536,0.004096992823996303,-0.0174075849974814,0.0029769867746025722,-0.0005423532471422735,-0.0005253794419317297,0.0027803841049353034,-0.008055401164279215,0.00914047912760006,0.0003191213102429449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-9,201413,-0.3415000852160139,-0.15357666203159973,0.11028846954143062,0.23977490109215505,-0.2032648063476553,0.023884201534487476,0.08597005808046479,0.05021552075231864,0.09533469848979234,0.01411512059163685,-0.006468851501602683,-0.0018368771763116064,0.01324444015593536,0.0400042749909051,-0.004878466953070551,0.03418898407316277,-0.0032084428091197262,0.0009228379600849105,-0.002534408855715184,-0.007888115240937226,0.018832858715818756,0.022742494010419972,0.01356993580429351,0.0085873381223895,0.01655018093664072,0.0006082936065972354,0.03255155383474317,-0.016911534079608007,0.06526770223044778,-0.006294834222440725,0.02257342164562915,-0.005017124817048184,0.006489915288249129,-0.012717451463868577,0.051887285533858345,0.015187489776127605,0.04503269355033494,-0.0341689677564113,-0.0009460762524022724,0.03493674967251268,-0.02291539638271014,0.06894000122845713,0.01229477904321053,-0.0027402196460140594,-0.001144623151614092,0.001710858355592284,0.0011611015439172056,-0.004405918265498411,-0.0033406167263080287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-10,201414,-0.3393706467224447,-0.14892848757342764,-0.041019663774529556,-0.18228388807749663,0.13134828715056937,-0.024871915513444958,-0.02210759250172416,0.058682082940946886,0.07597690653255702,-0.0020484081395882128,0.004664458808519711,-0.0016347395321537688,-0.019926114759809863,-0.013583755098045935,0.010220205974910248,-0.021874722421628284,0.005606730884933874,0.04064762178527454,-0.008442621799627738,-0.001626536925467781,0.008877641042266115,0.003571598005309425,0.008849755440428566,0.025267734504230758,-0.24626801353614342,-0.021803439434135735,-0.020991299211078417,0.001182962737908749,0.1443727836609726,0.010939099364102376,0.10437084923716682,-0.012425611427670577,-0.003330307326664671,0.023190685296759495,0.03958927739284049,-0.022270690606657068,-0.022242404397490943,-0.0035369529196063033,0.0010339615386672602,0.0020802327265999772,0.001187824101939092,-0.008776306855291264,-0.004416297481823104,-0.00035566185464793853,0.00013945599206679782,-0.000274207470330006,-0.001480348800086529,0.001301695848895376,-0.0005605547199958644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-17,201418,-0.4037904573403556,-0.19721998329009383,0.024582289351384262,-0.16177467351271857,0.07669474730914892,-0.02348149211035748,-0.11887613683161938,0.07827446480454808,-0.013529522619776716,-0.0003967304035234735,0.029963423739494736,0.014166518750171239,-0.010263041982136664,-0.018983175275578558,0.013803528119895181,-0.017714160268733,0.0033589157687928415,-0.005053923193291289,0.0017989753409680784,0.009967156569145668,-0.01906814952700025,-0.023440545712963782,-0.023886689355220973,-0.02021705495495513,0.01013854756283825,3.811539174476097e-05,-0.053847101043937355,0.028601301133163417,-0.013426307758935479,0.008385305614253375,0.0026470268218830046,0.003932520445272699,-0.009583330739467925,0.018148818882902065,-0.023427805616045922,-0.019507682935411996,-0.037381698438569984,0.019534670555539976,-0.002200892528234122,-0.016057747485331578,0.004760264000057392,0.009904424633170452,0.014084746792033972,-0.0005752480807538155,-0.0001819336768634084,0.0013469728255271676,0.006620812812190084,-0.02315176726097824,-0.004723450206959091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-26,201419,0.08333596226054513,0.25284413756065705,0.19389286310937096,0.047795078886932796,0.2639686334430889,0.5433867701320616,0.12592849338213807,0.1300741066273162,-0.0896425755848059,-0.02775209270248998,0.0019337853771746556,-0.00689651084167275,0.028237634037843417,-0.004726267323892734,0.01880065981290686,-0.01169214363259265,-0.05311366800164647,0.00035303297418308037,0.01992292814536093,-0.009932603096252947,0.009852788868313762,0.02090463625716647,-0.052646410950166034,-0.01749007965289347,0.0028426004247804637,-0.06125259898527215,-0.08179102265496603,-0.1836714019396674,-0.011687191426559645,0.03367116946543454,-0.008405421405546138,0.002052919090688804,-0.0002723509759070877,0.005293811157938356,0.003923389707275348,-0.0028776045641926815,-0.0004920558648924034,-0.0009068240104880632,0.00015508126972037922,-0.00018756876253070206,-0.00016679553905075823,0.0011498091157799326,0.0008832119240243306,-0.00013100304721671587,0.0007349803798896071,9.131330311051004e-05,0.00012456052873730864,-3.9219361605075e-05,0.00014123527463527437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-18,201422,-0.3843061484738537,-0.1836588150479957,0.04747328007844906,-0.04960393637981659,-0.013523333155942296,-0.002676019312317614,-0.08437348565673929,-0.005352690096789403,-0.10469760883769458,0.006184151774012982,0.014733244062321132,0.006121297932345104,0.015644905691209316,-0.030900446445566793,-0.047410962627133645,-0.007121523062706548,-0.02612176451615191,-0.07143452683181635,0.0019387724613561773,-0.021911359209972205,0.037949308676761925,0.07567058188096173,-0.026326210302029314,-0.006619276755957362,0.010033452349027678,0.019242265249717685,-0.0737111953412215,0.05622628766049836,-0.1593637412609904,0.022259171183920158,0.058987063614759874,-0.0002107514927271679,0.05987736042536911,0.007156770454971414,0.09313790848288614,-0.020546983664463555,-0.004642615231535752,-0.03276639237145389,0.0025774764790901265,0.03277882075348948,-0.009774601296602512,-0.014160596956312907,-0.01732594699469086,-0.0011585742746807487,0.0007276941335316509,-0.0018931894878715053,-0.0020131778267719197,8.841362626770382e-05,-0.003225332372774099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-20,201424,-0.3438416001192134,-0.1560233184363554,0.12372776823748827,0.2560917950993521,-0.21813113248418098,0.025963970541492846,0.06917603868176518,0.053339315320728366,0.08210404669726155,0.0168575261816633,-0.0019258662664940953,-0.0002998826399441535,0.011000297217380878,0.03954866033275075,-0.0022984105400825658,0.039389598669549844,-0.001355874607338641,0.0017795865618033667,-0.0018656891168578604,-0.0027858978403905795,0.005461291858512057,0.005148775174684726,0.006372285081279933,-0.00251153803231929,0.005534828542300633,-0.004218345525548841,-0.04320722393623291,0.02064643537485046,0.021653037646530607,0.0036997694077802305,-0.022535648185161437,0.010666165481694748,-0.0002737348081314599,-0.0024624346981515395,0.005197755688436427,-0.00911410164371543,-0.013807575065813479,-0.0004140547312674407,-0.0002959894934770441,0.006892932184775237,-0.0034621653848335965,0.005423902322987607,-0.00982365108667381,-0.00026569899274452355,-0.0009173550826314622,0.010362258331838297,-0.003838219096533109,0.013322008525231762,0.007282153930569549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-23,201427,-0.4023877553147023,-0.1964316043397137,0.02427500887874251,-0.1594712350317391,0.07408277730206869,-0.02296846352413551,-0.1142984217072934,0.07782179541984684,-0.01291499049817032,0.0010274845702817126,0.029064139907759644,0.014586848087655301,-0.004872684336918575,-0.007083516930063681,0.011302473766554333,0.0038492685856580523,0.00102094249766928,-0.02030907597114238,0.004405297498070525,0.003454495898933021,-0.01626938106288062,-0.011120844732129348,-0.009268252631141878,-0.006046067326362213,0.02912919768572102,0.0016930432195547533,0.029389173886317697,-0.01950156095259702,0.047121039055142075,-0.010154711931401513,-0.0720083091085047,0.008020127262594073,0.010833700305212007,-0.03146427977812443,-0.001187018997126858,0.029661856263117944,0.04511942813296575,-0.018137555845075343,0.0026084624154742993,0.007808299152931383,0.0009614645814728782,-0.013504949982035469,0.00013057238153249705,2.341400714217953e-05,0.0002948062832200673,-0.0008572757123574749,8.445335541850505e-05,-0.01072532333133983,-0.0076842205013258206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
