sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
KL-CP-61,201509,-0.09731030771500715,0.024529988819284095,0.019145444673939898,0.03742336762924394,0.011245115687491118,0.030522070015105183,-0.01038259455922457,0.01886017338969247,0.0074717705664176706,-0.006833317486603143,0.002836977738813528,-0.00035245787319601796,-0.008232679502943192,-0.00085766347060367,0.006736908133710166,-0.0017125428286990977,0.0007782073459007641,-0.0008008618533478441,-0.0002610127323730609,0.0003951816623757821,0.007152028916640487,0.006902284314852801,0.0022680813845246954,0.0018718489154590956,0.00025529373357830376,0.0005158268180415181,0.0006851301442068162,0.0016690349171477217,-0.0006618356393580025,0.0003634458836818893,-0.0009163361619444168,0.0004603040964070118,9.785589846848728e-05,-0.0006505083426197062,0.0002944352479723347,-6.893341289908413e-05,1.7433644390369942e-05,5.744696141562102e-05,1.9856991281413227e-05,-6.395065877003313e-06,-2.1019404225666918e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-51,201510,-0.0823621557130746,0.02727291194262928,0.00040268982595603037,0.036051991560717284,0.0005439841489896654,-0.008946952092735806,0.02012468063228364,-0.0019437734057881568,-0.011436385199068384,0.014347234755566223,-0.004349752918080519,-0.004738758169252927,0.00619020976970909,0.034483594656994736,0.00844453294742141,0.0003550308308922326,-0.006777402705340843,-0.0013729486408248785,-0.0005612194666925264,0.0021973806670293997,-0.00020995035930735701,0.0001790174002330828,-0.0003666963421985899,4.359818090976229e-05,-0.00013909188286832317,-0.00010876717371653386,-0.00018283464333873574,-3.617566976179443e-05,-5.8277526988060074e-05,6.244613912929277e-05,0.00010034614512660705,9.975395063664015e-06,-4.0413228793795235e-06,-4.091608367864781e-05,1.623137083973819e-05,8.400888727300847e-06,4.3868899730152965e-05,2.3301373248279075e-05,9.801202973958011e-06,-4.43556748232929e-07,-6.000542768838093e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-57,201516,-0.08744996410423972,0.030876117192365285,-0.00211482736875127,0.042528869174533517,0.004293525389657566,-0.002998583401059904,0.019938629520604358,0.0031666096773714123,-0.010685291745662264,0.01831582076347999,0.001134522387841641,-0.0030302302763177305,0.008864219967654928,-0.016412631338071613,-0.01884859222928195,0.012529131420214208,-0.013516230791972969,0.001279130220277339,0.0029253135794150625,-0.00033874787980081535,0.0005814937052929935,0.001222877317362028,0.00019396670532902195,0.0006679937039092397,-0.0005417690710887996,-0.00012016623177648241,0.0011424790602325913,-5.941559334665279e-05,-0.0001202681595097803,5.276710860032998e-05,-0.0002973925487499556,0.00018203658879740073,3.740360061385999e-05,-4.096424959480686e-05,5.1781834906596945e-06,-2.0760462801359367e-05,-9.395434964359854e-05,-2.525771717323246e-05,-9.838052513821521e-06,2.415847277053348e-08,6.566115480288677e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-63,201522,-0.09450788853068676,0.030630875875238595,0.011842045849629801,0.03152484243202784,0.008289460962164586,0.027544648454607468,-0.010924223033136986,0.012928538767537455,0.005801131662926466,-0.008467521257119357,0.004141377399481619,-0.0014992090216963357,-0.004306576489612395,-0.001821561676419847,-0.0009469236516903898,0.002273004433181604,-0.0020013341003928113,0.0028504314817651664,-0.00135335123517533,0.002628642611923884,-0.005809683576143644,-0.008465039582334875,-0.0025586558672078697,-0.0022917324905355942,0.0002538889395946896,-0.0015378780965199033,-0.0009236249473287308,-0.002011806747854829,0.00024449081985937536,-0.0005347590494126766,0.0013876302233416823,-0.000298459429797478,-3.0561145705380535e-05,0.0004009087528107487,-0.00021645172900375495,0.00011891680006202269,0.00017361866538262804,2.8538097035299375e-05,-6.834956576401529e-06,-2.068781228087772e-07,7.753083709664933e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-65,201524,-0.08867206897257741,0.034942185643922895,-0.003123045480118944,0.031900650973372,0.00354190765497049,-0.003346073283475278,0.011709036838059522,0.0011417491611408032,-0.00921182387760679,0.010107528711431633,-0.0016508005443182407,0.0012034362054030073,0.008649430303987736,-0.007768947199425311,-0.0034064415039414264,-0.015748556785386742,0.025618953948642952,-0.010204785475381598,0.00015440438456184978,0.0024298804038395787,-0.0005388811748420026,-0.0005618716072833916,-0.0003919802248028441,-0.00014685861415080162,-0.00015044683527251073,-5.594278093918931e-06,-0.0005543086784828056,-1.9754830357006194e-05,-2.7724793562407983e-05,5.8869764340459355e-05,0.00014062650559608817,2.7885796133986683e-05,-3.147707733277222e-05,-1.659701811245316e-05,1.6303754374793667e-05,8.897199045100782e-06,6.331239622987331e-05,2.6587780013243203e-05,8.298189048890184e-06,1.5730686665951133e-08,-6.64584268242129e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-73,201520,-0.09042565578012882,0.04033170114605313,-0.004923725326916212,0.02204588222272047,0.002809857681883457,0.008232885568896653,-0.0037664637607106796,0.006478801169459715,0.0015570600696006981,-0.000336666578718355,0.0037021236128761095,0.002036354256981866,-0.008203122266114577,-0.008171537845831488,0.018114200824728255,-0.0014875351870059159,-0.0011279411524612866,0.011055668818436027,-0.0022462429552159617,-0.010812840718879975,-0.004228559648726038,0.00016427150476413404,-9.505369372490546e-05,-2.6009308208574308e-05,4.3923219170368783e-05,0.001557554557502355,-0.0006214032520934054,0.0001684568347666066,0.0008097215976193526,0.00021973627803152665,-0.00032916868314207244,-0.0004776235877092404,-8.471551998266922e-05,0.0004667361098650734,-0.0001548490267986152,-4.663279994141646e-05,-0.00019505491497752927,-0.0001033566225875305,-2.1972918253106984e-05,1.0012165116140155e-05,2.0101100062064182e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-93,201752,0.01455893430819776,-0.03505951103238091,-0.025762367807386676,-0.009662299044659588,0.027303128259448004,-0.033988986205362615,0.016512327157720653,0.05843595084799724,0.00192646816177913,-0.017050386768047255,-0.01383564098434761,0.0015386560393567882,0.0008321138725029412,-0.00023005455651174022,7.220202633999703e-05,-0.0005385203652562318,-0.0011338414311035231,-0.0017597320591122528,0.0015493902145276466,-0.00020206583728573995,-0.0037855022978272156,0.0008452432486542851,0.00297714477864571,-0.0018452311987983707,0.00030862978717276815,-0.0003575231689775015,5.5350598171634347e-05,0.00010453541674684132,4.2301806719351606e-05,-0.0001930001907699069,0.00033131298064381057,0.0004254855949523452,-0.00024493713315673637,0.00014850016550712133,-3.661655045740727e-05,-2.016998280052469e-05,-6.770507472121965e-06,-3.878958238632518e-05,-1.123102263169894e-05,2.8904055874463494e-06,1.9715623755777213e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-59,201456,-0.045985338003894344,-0.005729690564004626,0.01526236242946401,0.005044507290533899,-0.0030551254481814465,-0.010712625596414282,0.011345270799521624,-0.017590301775008175,0.0032477709388121596,-0.0029779917913927475,-0.027634948971968366,-0.006026333551756205,-0.029094842617112367,0.003497883333572121,-0.012059857338044775,0.0023349823287779894,0.0070779716472751004,0.007878531308397937,0.0008374501085129207,-0.0019422644949189246,-0.0021440713932852668,0.0020131801394925623,-0.002322888600147907,0.001382900245037757,-0.0005941417340967444,-9.694857818108323e-05,-0.0009615863032387847,0.00020080141130121438,-0.0008988670382247696,0.00015853714485314878,-1.7998626438786423e-05,0.00047288720310633336,-0.0001022355613340017,-0.0001346316506265773,0.00010774148086126446,1.3304771311207351e-05,-5.255777232882503e-06,1.471160814251781e-05,1.4608785239939948e-05,-1.0655700142711718e-05,-9.097822010122627e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-348,201652,-0.02604255177857444,-0.06957092813976086,0.03452747004804279,-0.010019980973790076,0.08348501420510636,0.011439202725448955,-0.003109805682017336,-0.03318323886313626,-0.010198220793447073,-0.004275825910470783,-0.004226541241411363,0.002104108851488704,0.006214458511644369,-0.00041200292281614323,0.0014043978523752805,-0.00217437072714003,-0.001441477309958784,0.00023748914515441173,0.002800767865620415,-0.002958400358290516,-0.0008719429702798684,-0.00022310375856321685,5.300491697254899e-05,8.453344472887487e-05,-2.2574116881798854e-05,0.00017782519298515135,-0.0001238360852202207,-6.716886788932393e-05,0.00021212567753563455,-0.00015466270680766368,6.047189404195001e-05,3.309063544515061e-05,-4.50464186710415e-05,6.973561776142477e-05,-5.00768188478251e-05,1.2112594148122559e-05,-4.7519635321619576e-05,-2.3484385965418847e-05,6.740647581487863e-06,8.020974005193879e-07,9.875456116963352e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-PR-6,201543,-0.10938778183406313,0.05109001111708674,-0.01321293332191844,-0.009889104884138302,-0.0027802412273590853,-0.011405730909256492,-0.01990724405042071,-0.004726926431345926,-6.259693501645746e-05,-0.0010586380660444668,-0.002036416615679596,0.04526542419813315,-0.0022580375331865375,0.004432894714488504,-0.00508150332314923,0.0016827489742980023,-0.0023455058264672335,-0.0009875073148757998,-0.0006029925987350029,0.0019798062180645345,0.0005930984625233508,0.00018702091625935504,-0.00023109366157461676,0.00014425910988226628,-0.0007141840476795056,-0.00015344519609714231,0.00019176809273800316,6.657325616004826e-06,-0.0001335109474827129,4.033557746897869e-05,-2.740295576334081e-05,0.00011434647091311648,3.084447067338304e-06,-7.458600198133643e-05,3.077879333975369e-05,8.909538435473987e-07,1.855247718688529e-05,1.5106505076614585e-05,4.040434665173968e-06,-1.3329906795373805e-06,-2.9014866529962003e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
