sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
KL-CP-61,201509,-0.09294764432769559,0.000732557488837187,0.035738726875814454,-0.06394737330580409,-0.010007979869360058,-0.028096155149411578,-0.021711732925254704,0.007870418587385113,-0.0026642735519180976,0.0031892979149036648,0.023674184550165487,0.00745185013072739,0.0007001439260007499,-0.01576196965151863,0.01398953570154497,-0.0014564686636992018,0.0037300061399775635,-0.003971446565769425,0.019911392704498952,0.007337793810351141,0.010209928509859604,0.010268577488147872,-0.010511746758433249,-0.0014009376864658352,0.003222311448878102,0.00100991479409434,7.719928895356644e-05,-0.002992486749880401,0.0007271779724728906,0.0005633142780683645,-0.0002271370718101129,-0.000293395290150308,0.00017183388756750306,-0.0001347797191211279,-0.0002938960812615136,0.0003779098878086397,0.00013227843729960966,-0.0001415946582377104,0.00013643971220379323,-6.5291764287660944e-06,7.02515192158161e-05,-2.2618278477132082e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-51,201510,-0.07992227373831058,0.05051618444031634,0.013618563000509516,-0.039337819651800776,0.02069665345077049,0.020866347780310258,0.003965406770460327,-0.007847202771574625,0.010222563743970323,-0.0044223150548386835,-0.01735986135140487,-0.025752984181694957,-0.010761468339500714,-0.044259096315299895,0.015971703086595665,0.003987909928114561,0.005085549133387848,0.015928211544757306,-0.008205934737866155,-0.0028573198185573275,-0.00486059731359075,-0.0034110480639499272,0.00388172087362427,0.0002952002160373505,-0.0015969783196257306,-0.0002973952503523806,-7.869947733482397e-05,0.00016689270724907446,0.0005911083177746836,0.000721110792638971,-0.00020760560421831124,-0.0004695944453530294,-0.0003047807779354341,4.1864580441950734e-05,5.383181122187791e-05,-0.00023871302692993836,1.1892430647049507e-05,4.417242533697682e-05,-0.00010841411761032272,-1.6662980883426465e-06,-3.165632403891917e-05,3.526420038375237e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-57,201516,-0.085906207226037,0.0584588642779301,0.012814972069093893,-0.05849804077461752,0.016229804550323187,0.015270249520365736,-0.005616969870642948,-0.01207831007230946,0.023032613632197437,-0.016042661377903226,-0.014374609397582177,0.007616396451570276,0.017944718333381918,0.0275890196308882,-0.013096922117592377,-0.005977698596645393,0.007846752474319891,0.024573996064305062,0.004697361395444564,0.009931857535175162,-0.007631475959167121,0.001529768842568962,-0.0030902854940447664,-0.0007960472106223757,0.0018968654516793959,8.258143093915723e-05,0.0015741166273624777,4.1468966503948506e-05,0.0037264724576517422,-0.001963843783318862,0.0007791963613950565,-6.347557101915385e-06,-0.0010520472529957142,-4.155235975268489e-05,-0.0002704171779692081,-8.651113080541347e-05,3.9147288282884363e-05,-7.464888078373705e-05,-5.899604591352519e-06,4.44417974178427e-05,-1.7085439563577702e-05,-1.164778758745901e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-63,201522,-0.09887604755819929,0.021347461711690687,0.040301243754470424,-0.04959979246496483,-0.01320808662314648,-0.04037366425049257,-0.009881316380789849,0.007308070583381518,0.0068564217412037205,-0.002948267475327381,0.012044440580013223,0.009320434994706332,-0.0006898850347292517,0.009626067524913033,-0.007549487510045856,0.0019968462270929547,3.0452527295976606e-05,0.0012839745394749968,-0.018145651055955482,-0.015366940713401474,0.0010526807574714621,-0.010177108585930645,0.010913772471057157,0.001901212412000956,-0.005460432967120261,0.0002620385182540103,0.00034619533287615734,0.003505581885674352,-0.0016983157572454941,0.0012647294519957262,-0.000651706099618374,-0.0008036038452708421,0.0003532273029037737,8.933161571186503e-05,0.00015869678263639002,-0.0005522797226945281,0.00012191924348542172,0.00016963543339764404,-0.0001719964986942991,9.486420852216332e-06,-8.98031039694698e-05,4.563913911479651e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-65,201524,-0.08252886428837619,0.05656734423758684,0.014044835219914608,-0.04755280218582322,0.013347533177356416,0.01763035327142295,0.0002533511454490604,-0.009097639541579746,0.012119248901807636,-0.006870026838991673,-0.018249463129892087,-0.006410167056910661,-0.004054771691330103,0.004023999113043001,-0.005388346858410827,0.0008403343831594683,-0.016159958581990527,-0.043285455626586325,0.0016705597132470453,0.005500884655590649,-0.005474498996248294,-0.004564383885436344,-0.0008223186028942098,-0.00048755861647621174,-0.0013513515863535538,-0.0004401883947257237,0.0004822347342695287,0.0002610896809254654,0.001256405673265982,0.0006335449022831048,-0.0005671027389415228,-0.0005189433167865547,-7.952105848572374e-05,-0.0001196548146802558,3.8570964480649126e-05,-0.00015043226935665735,3.9979929976066707e-05,-5.36369549832251e-05,-8.268184966185891e-05,-1.308469140748886e-05,-2.0644203638820962e-05,2.647412212099576e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-73,201520,-0.07342087118796743,0.053730322359767456,0.018452769231041163,-0.021371167708117967,0.005053180936575222,-0.004020598311758431,0.0008350020376212384,-0.0008134797346479142,0.002352662766098578,-0.005479195511384861,0.0016771680983289083,0.008719815379452447,-0.004695634848510079,0.0069271699480846,0.0001098722866841631,-0.003168798815309301,-0.005993048799512573,0.002597071488641399,-0.004675510720011053,-0.015557482742729634,0.015265440038759731,0.009715005835092815,0.003030365358611625,0.003594091535175449,0.004139681960483696,-0.002645047793798358,-0.006168356107572034,-0.00454268324857506,-0.008104623478964477,0.0010566063002430477,-0.00025566889412181984,0.002698874740970736,0.0015364186846152938,0.0001634847491962278,0.0006594987609908367,0.000878631232829505,-0.0005797096843684413,-2.92085209444563e-05,0.0002629246896602016,-7.637164455938451e-05,0.00011223523182365967,-9.78950174281984e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-93,201752,0.017781013962297906,-0.001873472796157835,-0.04248437495977192,-0.0007559961994593697,-0.014986039138439053,0.04471957193260632,-0.07054365316350077,0.03980279689067695,-0.012453226215314684,0.0055423558497713615,-0.004695714344212435,-0.004055466194600972,-0.01551671825836573,0.00608969563602549,-0.0014743666451265194,-0.0031405135918066264,-0.004031329568242639,0.002421094812070249,-0.0016057845393095012,-0.007089636848325435,-0.005875659562388311,0.005969727998547351,0.0025065380578881873,-0.0025078345802435602,0.001953777167108128,0.0020814179515450592,0.00013795534368458745,-0.0002302024159498068,0.0014409308520764656,0.0011158600987167737,0.000435817142978477,-0.0026828069690147155,-0.0011504302856813371,-0.001345896602653643,-0.00044619568477796706,-8.140839951375178e-05,0.00015557812468717887,-0.00011533817117327653,0.00021006461095974857,-5.699535312978294e-06,0.0001005387471041694,-8.181881485271154e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-59,201456,-0.056721014843564885,-0.006096959947648513,0.0075911596485709705,-0.008263304415401247,0.014481139331826652,0.029498379684613957,0.013121084583267663,-0.01871976188285559,-0.05140373683605417,-0.028298823235254737,0.03890142052176712,-0.03429783407934771,0.00030947145252321293,0.009082783518897549,-0.011049844248308809,0.0012793430226227206,0.0044533871900172455,0.00015950691008066828,0.0008766635054059748,-0.0033409638179634354,0.00037962562185132686,-0.003899498946301725,-0.0010488322776828225,-0.003295320482049974,0.0011210299460139642,-0.003483817415206437,3.594084186793733e-05,-0.001976108563901935,0.001212011368916557,0.0009815621449132512,-0.0002452955163137352,-0.00021683235392911255,0.00025507805511381607,-0.00010689786596405712,0.00020228807554804483,-0.00022872021886921232,0.00023529401919434437,-0.00012104876155564412,8.173972045698146e-06,5.718323359755323e-05,-1.4003264929763738e-05,-7.311215350510039e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-348,201652,-0.051842049610362526,-0.09903843416445196,-0.011676641290275331,-0.02215580096217103,-0.11199989197703339,0.025990407575283706,0.035049419810411174,-0.02260721833096843,-0.005148531097439793,0.009828623182637856,-0.014234467810250628,0.0007636144662208585,-0.00938370832148642,0.003682638916029977,0.0020830656884310624,-0.0033530159257440756,-0.006001925223261566,0.0038681741302249483,-0.0011633021965891219,-0.00040481290638074737,0.0011852089478837666,0.0018924630843588487,0.0001327743514705479,-0.001115248741645055,0.0005033147564329495,-0.0024551368217382813,-0.0005386388406253575,-0.0015846503086365859,-0.00032757926188405924,-0.00028583382159595185,0.0003683211129965923,0.0007805432855985489,-8.045405252878937e-05,0.00012129901497525439,3.5851361817085644e-05,4.959261897145212e-05,-4.743919786667743e-05,6.306052275256294e-06,1.1380826560462942e-05,-7.653193725551816e-06,6.429197259564229e-06,-2.8040126579174373e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-PR-6,201543,-0.10036915603227266,0.08330248284197037,0.016315265278983988,0.023431412265326915,-0.004782250216417971,-0.003746706384373348,0.019182505314002927,0.02485682483139709,-0.00410821244960623,6.180010789772308e-05,-0.0012198030410906309,0.001679842866555197,-0.017202184080651457,0.02441539090247782,0.03205576576139923,0.03574527112947298,0.009516422090057652,0.0002688420902763878,0.0022292337268703033,0.0035307937124027158,-0.002089543051028836,-0.0025531390099927855,0.0004457177073294269,0.0016306636532954972,0.0014607433555980302,-0.000711921712841941,0.0009686345648530776,-0.00014666073521593185,0.0015863064614724536,-3.7838822271883686e-05,-6.705872028144474e-05,-0.00025289922630130203,-0.00024645345489480243,-3.802229287508266e-05,-3.934766683062133e-05,-8.447720297514168e-05,4.160590479286025e-05,-3.670651007727551e-05,-3.771912632251715e-05,5.373438964146523e-06,-1.3309630280320877e-05,8.842407898672717e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
