sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79
CR-3,201395,0.050647341695302314,0.15777247952761747,0.06756834019160309,0.0906971188155881,0.14875163875678504,-0.13250352783435104,-0.08770175462441607,-0.008796897462052233,0.05035857652222373,0.036339720731606406,0.026141459324738322,-0.03123602445075966,-0.004633524762253,0.007541234889584624,0.012017181384496868,-0.003524109070876032,0.014649240764282515,-0.006352139009265035,-0.005371614117510488,-0.0037718977594934913,-0.0029946004242772193,-0.0025285569096154133,-0.0013600177956384924,-0.00045035877481221893,0.0011394047690762776,0.0004651110241034773,0.0002821522831104529,0.0010886190644439884,0.0004964583264859399,-0.000277739976331225,0.0007376305530387444,0.00010448021774823858,0.0002539803148125188,-0.0003870128413966302,0.0003132583124002522,6.371358889141671e-05,3.9466490050559835e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-6,201410,-0.025739542957783485,-0.03163538076375516,-0.010952108590945937,-0.004174862149610874,-0.0014387842074994098,0.016016519302744937,0.003966733896472567,-0.0027262892247955483,0.0006158376368401882,0.004126428318040689,-0.0037967559286335877,-0.00999923068023177,-0.010402855877293263,0.0011570099984589818,-0.0025615570619573814,-0.001740203006670325,0.010079823682255983,-0.00048339198961462745,0.019322473929206507,-0.009751496686673536,0.00521468980766841,0.0032970389421101837,-0.0004980485569868199,0.0006013307356684471,-0.005265638914815369,-0.013312123725246648,-0.002394477230036004,-0.0048081814620926245,-0.005469430910323429,0.0023328290998316376,0.004815455379712357,-0.003929790544447925,0.0031733303031300543,0.002125819184061975,0.00011502260475981902,0.0007659879983535159,-0.00010147805851430224,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-8,201412,0.04345134613925467,0.092739709949223,-0.028356449793226865,-0.1733756040418061,0.11806529113141459,-0.03009369175082215,0.06272920748610059,-0.0833576387435966,0.0067875068057865065,-0.02692319794233801,0.03574051288231304,0.050096585904984205,-0.010730229414510994,-0.008941473344469077,-0.003583001037199115,0.007972851516024677,0.0032249186328004832,0.005088510574995062,0.0017410096146260661,-0.0015519252057693911,-0.002700837532019746,-0.0009647483287577266,0.0013539107283704669,0.00011932799311443657,0.0007352943842555454,0.002261832786999842,-0.0010688548713016983,-9.182639436803077e-05,0.00016216991229319144,0.0005806786745309548,-0.00030988590715025566,-0.0005633389504292819,-0.00019490900293241822,-4.5486576563416406e-05,0.00025353264481709555,9.704136093300746e-05,4.363183358223308e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-13,201417,0.060506697233376525,-0.33126247111186585,-0.06832776276001384,-0.012926076493650076,0.11225351140452591,0.027002727634672808,-0.1439606284161395,-0.002089089787738256,-0.026826269044199966,-0.01779193496048178,0.025178438609665645,0.008357078604282779,-0.00984497378654632,-0.008534419362522009,0.005980079114556744,-0.01144676769257001,-0.005708233386311151,0.0015165975871472327,-0.0034484442831005076,0.0015857159069994021,-0.00036382282674329234,0.0017744574073320402,-0.0009221453541732679,0.00042045382420637464,0.00025196952207096534,-0.0007659984843004973,-0.0009574535027481035,-0.00021478375616722917,-4.802460505610539e-05,-0.0010891177754053477,0.0007083620150893756,5.982767606568566e-05,-4.874871912735883e-05,0.0001181244372003993,-5.073127285303203e-05,-5.0305360788921525e-05,-7.632229304724633e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-17,201418,0.015486523353413958,-0.026147049332065665,-0.032914796287212555,-0.0064738213545203,0.07600596787891738,-0.014116510906295563,0.021153215135534528,-0.027767694090580556,-0.03815366847626183,0.10993475539229945,-0.06003781144853221,0.008341386586590577,0.015375357354271275,-0.010845678083588425,-0.007113070430827034,0.010412610775508622,-0.0015543870437831361,-0.005758572732868562,0.0027319260131868856,-0.0060169008863739225,0.011259353542572235,-0.005675634916029941,0.005982807961619825,0.003279590449796751,-0.0009071940998403728,0.0013979192462583142,-0.0004694734162166501,-0.0008521785092914748,0.0025955681101180197,-0.0019487596916371811,-0.001714514430749978,0.0013955856197882905,-0.0001529672038602502,-4.039716010317835e-05,-0.00033647706315201856,0.0002845880701938115,-6.215013855247026e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-18,201422,-0.010218728963337295,0.06411633023078864,0.00628221939371099,-0.021788448568408638,0.04244903558478036,-0.02087114590401691,0.030498160597092427,0.04652984929716764,-0.046826340735082926,-0.005488704920433719,0.02497954248138349,-0.02177586319041564,0.009061168766014522,-0.01341399927039103,-0.010570846453134143,0.013155322944057614,-0.0033121447386371553,-0.007592530634981962,0.016838327971891453,0.005542237438357024,0.0161997415998682,-0.006171847059406791,-0.006517952305931007,-0.00768534984825127,-0.005050533392487847,-0.00739134975936616,0.0046529464889313145,-0.0017456645239886013,-0.001042806652136289,-0.0019705064173485528,-0.0007078457015419325,0.002526473027829676,0.0008345352953014275,0.0004803918718111991,-0.001165893530750124,0.0004891407409720841,-0.0005163881339492683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-19,201423,-0.023758331182278648,0.017365964894585844,0.00989051468021931,-0.0018898947047710237,-0.0055561694590418875,-0.028981109443657036,-0.02945361050196482,0.02281716095151839,-0.008805216363581368,0.005628130477716482,-0.007789132068104301,0.02239678150286976,-0.0012933083479055088,-0.0031366544617488323,-0.01468194409851799,-0.0006636100749196049,0.0010983805532022264,-0.01191772465791207,0.017623806972467643,-0.002879433404491171,0.0067983513890699405,-0.009350030829547766,-0.004935919452599985,0.002603143412786343,0.0011074306537768434,0.0027807932660213496,-0.0026634735763397246,0.0008135688314283503,0.0006833488456242619,0.0024968463902726437,0.005408252161128424,0.003891516502105627,0.0004140293457928691,-0.0031368659097209153,-0.0005712402712608343,-0.002151172365439829,-0.00011955677118089069,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-23,201427,0.08009989709000569,0.1462930688217715,-0.022002583478872382,-0.262034260845695,-0.0002629019553419003,0.06058167789396549,-0.07833671548809261,0.007811080318736793,0.04524119810238692,0.009454732137859488,-0.017567424475457963,-0.03075912699791624,0.020597571336356427,0.011290731505132845,-0.0034763376443655587,-0.003366986563031036,-0.007492038661835205,0.003772779096868907,-0.002161056282428094,0.00014054798796129858,-0.0009166210065969362,0.002753008221435407,-0.0008302549164000815,-0.00019493889612768857,-0.0010967314342095744,0.00016200687320477646,0.0007978406831482883,0.0009692008595315305,-0.0007581305371055471,-0.0005193887040836713,0.0008459744380432777,0.0001224644930100023,0.00023546477179555407,-0.0001965041716550101,-0.00010299091071690876,-0.00026358183414270465,-0.00020150688712302874,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-29,201430,0.0071791867993861724,-0.0424615812151701,-0.01827741768868375,0.020376387547985424,0.039880553849106035,-0.05123808414274133,0.06085517585837583,0.0034835267710300465,0.03660728769951256,0.058259371760302936,-0.03721545978646294,-0.0026239927744958337,0.001245078966651984,0.01826636397338842,0.014677881165907267,-0.023022893791202974,-0.017218930521188093,0.019601030060807066,0.009274992988192792,0.003838326887777562,-0.005741701750334651,-0.000722709427718262,-0.0002692741441116617,-0.004893900215981751,-0.0001582335290344036,-0.001438167400356606,-0.0018475830402637442,0.001315776968280146,9.013501673432095e-05,0.0018503964716824407,0.0017240195126100636,-0.0014454335413641428,-0.00031663142072677964,0.0009725962628850864,5.70866701607231e-05,-0.00014193737549791916,-0.00015963462945906286,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-51,201451,-0.02627073623075767,-0.02246802579273483,-0.006611941288598321,-0.0006496497329777491,0.009722597506648643,-0.0006581453026319522,0.008304418038654813,0.009113913598626905,0.01407178741694937,-0.014376749842348989,-0.008784519835949753,-0.002813451050696785,0.001866834459497873,0.0036145829646911836,0.0043132439000792755,0.006650774951907237,0.006981937761352864,-0.005896334983974912,-0.01028732396984575,0.0023178954727088785,-0.0021357708027291596,-0.006961020177731328,-0.0062930064871536484,0.0004939939162529359,-0.003004084245525987,-0.0013650447828118003,-0.0002863294943329674,0.00043999554533231136,0.0017778545583668592,-0.0015216599466166124,0.0016655694077185865,0.005479699039340018,-0.003589966105177381,7.5474032923323745e-06,0.001334347850016801,0.00357463777270024,-0.0032593234807029667,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-10,201459,-0.02550371372112542,-0.011399169341874658,-0.0010593012417816302,0.0044664618115723255,0.014765054234357582,-0.002654793546854774,-0.00523806840258895,0.018865188703998694,0.0008285422633730065,-0.005490037750806403,-0.0011287683778624692,0.00821901322562026,0.023884804159443503,-0.004088802092053316,0.006302844395600966,0.011868789777901453,0.027981013133568013,-0.0016957679223204324,-7.197672056414396e-05,0.0045580138171732835,-0.004557310651176692,-0.001458421944086134,-0.0007503142586215847,0.0058100709856452985,-0.0001459775801586073,0.0011216284835611806,-0.0032819279567295485,0.0004906432535325508,-0.000510523882665542,0.0012696135110955961,-0.0024248261363101348,-0.0020770204793133097,-0.0006999987156141279,0.0037315794739546005,-0.0005162962265479272,-0.0020104332095658324,0.0004136463420810793,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-12,201461,-0.02049449209586606,0.043825882509380264,0.019144026082992927,-0.0005029480590372905,-0.05353262383875254,0.008410672983330848,-0.022889561902654475,-0.034933868599438915,-0.028465609925347708,0.022136359706837538,-0.004499501322534332,0.008379737961108474,-0.02629872907575526,-0.009481433908381595,0.014999003346400945,0.0037412262462012073,0.0024812535279940357,0.008114878759956033,-0.006641809135313588,0.01865302865487463,0.008276201443765653,-0.003543394647842003,-0.007632803071034587,-0.0021048949655275177,0.004272124889242726,-0.007786621498437439,-0.0042861000230302124,-0.00021867536116416,0.001135306528424498,-0.0003250605938203354,-0.0020666822732632604,-0.0003493201577409697,-0.0023680097034791793,-0.0001651544743099922,0.0015110700231345574,0.00013396663119791922,0.000219623014476192,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
