sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79
CR-3,201395,0.1624236419510867,0.12316858597747865,0.12460996374004663,-0.2119733543938981,-0.09303731249993931,0.06735395747612137,0.09253927551152359,-0.13305598107806932,0.15245522195643108,0.1229873552456739,-0.06054593887626698,-0.015733930517815388,0.044116365835538365,-0.03318687650856239,-0.014831279267855688,0.004501809079896269,-0.0395858493917846,-0.023420249971842964,-0.011266526375657917,-0.010159196901055021,-0.004832965091868818,-0.012796005239919608,-0.011408908109408264,-0.004926898536580617,-0.004881011911333716,0.0015144353555812205,-0.004578543692203448,-0.006096756457605431,-0.006932516331793825,0.004806195846255489,0.0012511468548861008,-0.0014545398264006594,-0.0008464520111561517,-0.0023295845967172724,-0.0003580207620865171,-0.00027663231251812815,-0.0005031775159178197,-0.0002729218772876769,0.00019471511079515867,8.221991300900922e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-6,201410,-0.06421573335614707,-0.04724104277503087,-0.028491768568188462,0.028582918487321175,0.006734730924435682,0.016556343372674785,-0.02494983987109457,-0.01907553492591403,0.05384698801133633,-0.014161813832631966,-0.042081925664804426,0.021550833153749366,0.015104116149933658,0.03889544951585388,-0.01213456663309137,0.03382386547154197,0.002969638083735332,-0.009411416533480587,0.007377700295070597,-0.0301325974958763,0.011344450320068119,0.0054134635309024196,0.029112155704241614,-0.009812626584087582,0.009045827328353446,0.004030782151835856,0.008033554557247734,-0.0181634202043198,0.022426065499485517,-0.0120274281314327,0.013361542169795744,0.007829379723984961,-0.0024528452048059425,-0.00046193245477115896,0.00263722654592869,-0.0038163019737937317,0.0008343873787659782,0.0030892297048810717,-0.0007207414775034286,-0.00011491848478335343,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-8,201412,0.20261097393131636,0.0037834834667638635,-0.29674753331349935,-0.0799081820958864,-0.12745479519330144,-0.10053189150388335,0.17456426392035299,-0.11351460547214645,-0.016474417567975456,-0.0972901344499777,0.022424249570221592,-0.11056932674329914,0.04979733708082695,0.0008809327331279062,0.010718786912656703,-0.012397581296913315,0.02962379187637224,0.0024126544752609215,0.0051524885223066886,-0.01241393467710738,0.0023657827451658148,-0.011295047506209178,0.00015039660484948301,0.015826244191333508,0.0060461473165315865,0.011409788201743612,0.0017202630116625282,0.0006421980883870109,0.005440333451599025,0.0038467541307309542,0.0007633311838362863,0.00276231002394993,-0.0005868374556226626,0.0010510897419699627,0.0011526898923008614,0.0012297009354866673,0.0009753713105098962,-5.767510200629429e-05,0.00010830264742833206,7.918567207319861e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-13,201417,0.0409016342452405,-0.3211445122898507,0.15915142752173428,-0.0979751968064399,-0.3212863838583527,-0.1280609720664431,-0.10067377380118693,0.16575346843548358,0.04125363496999622,0.013140554163587595,0.03709700498679346,-0.016610356016396776,0.026027295452191325,-0.007518768081806387,0.0034613166283493906,0.006710497786722534,0.0007259859199622167,-2.7957129914547883e-05,0.006335279367106403,-0.002906148806044387,0.010488463199762491,-0.0015078873401534363,0.01765149196431379,0.0018046530902118198,-0.008768520654559995,0.004711222301371769,0.003414298199468603,0.0039562169805409724,0.0031533028922058983,6.582623182175248e-05,-0.0008042301244948943,0.0009394068459081077,0.0006762315714615172,0.0003595167346773131,0.0009683368576266334,0.0007385360731098584,-0.0004200685716957154,-0.00013696327435695858,0.0002910796743136042,7.522122429304464e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-17,201418,0.178072442013242,-0.00043468675068390186,-0.11238582124995417,-0.19512963760253885,-0.07169017644749337,0.21151731112854766,0.07313662621204985,0.08024386395891879,-0.06633479082919373,0.01756014192294953,-0.014186419300130905,0.06937596134057954,-0.023494465721807963,0.0496724537121461,-0.06124767691527891,0.0008662340379224892,0.017960464264013206,0.019351523702724138,-0.010500531039441891,0.017650815894130905,0.0016407811671018365,0.02318505204057627,-0.006151992634467554,0.0011125567012276916,-0.006637252646680406,0.0028027799741690966,-0.0020188108083538936,0.0005233059039744589,-0.00027933929635347174,-0.0013212567376237596,-0.001627380018301741,-0.006305350410807588,0.0007750116984338838,-0.0005127153716081092,-0.0015622880372280145,-0.0025357423488089146,-0.0011117656808454284,0.0004467164151438479,-0.0004268952438873844,-8.812491100451858e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-18,201422,0.011528288014006063,0.023035690931565073,-0.11557415828891603,-0.02614617863929645,0.045336739180097785,-0.009711168999565903,0.09426604116965984,0.03864539751647952,0.06514885061180196,-0.06498199571964536,0.029226169003864284,-0.018373801646273984,-0.022014580365124454,0.05618958900211478,-0.04741341146354431,0.045965050857580916,-0.014267325268414819,0.001074271997984336,0.0052732880788084035,0.001446110576479451,0.014843225414978654,0.02301603146418591,-0.0018105447262222346,-0.02203505273415435,-0.0063186742026751135,-0.0035409275699769846,-0.005357080822604064,-0.005613113062210262,-0.008053508865230308,-0.011762221225560483,-0.0019418093921051997,0.0027304214078672975,-0.0005381263954020371,-0.00041366890434299617,-0.0007604782381678517,-0.000705871380389033,-0.0008369108772276481,-0.0005905755632397656,0.00027241150182109533,0.00022291929977182322,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-19,201423,-0.0060143135940995225,0.09433114218136619,0.01883692077769731,0.023330907004825947,0.0018248903457475803,-0.014075899202673107,-0.013535863147627827,0.0014252846427663247,0.06671000572826406,0.03124886008160878,0.018208731860068966,-0.032009047579919375,-0.04999518195011982,0.03261301970152834,-0.028602486212550588,0.027122399471604827,-0.00041761911417005827,0.026858613065100234,0.0247962472369858,-0.02899120658904268,-0.010811649790411626,-0.012143706582087757,2.230224879914081e-05,-0.011277213182243126,0.001305448135665573,-0.0029275861095990003,0.0009933203366478448,-0.0004905412219697571,-0.0007557744873408459,0.011267436123882542,-0.0025675359796803287,-0.0012392923745601948,0.001972070792287504,0.00637073340280184,0.001597629478788983,-3.222376315087103e-05,0.0012145128457482566,-6.194727340605029e-05,-0.0011310593297754405,-0.0003572341607056154,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-23,201427,0.24725063592898724,0.06724917854348227,-0.3821680748565384,0.09087833537921086,-0.13213888075601363,-0.11272021854181567,0.019285408979874935,0.01785075945292452,-0.0321119215922019,0.06487564466886794,-0.021857571547006124,0.06541379250709238,-0.06422421884886464,-0.01927627602809923,0.02636342070156734,-0.0013285197758274678,-0.016012791562159973,-0.007232451802301028,-0.008636031081185358,0.009720397433729962,-0.004901558774527753,-0.005775103809446851,0.0034970097538699124,-0.012184586990242444,-0.0036488926013453563,-0.00955111547808154,0.0012120691862835663,0.0006120634206832844,-0.005380807159475316,0.00030061473895305835,-0.00047698594066524673,0.0011669673054601423,0.0009075564289300159,-0.002031118046684688,-0.0003742370416300356,0.00042120522210441837,-0.0007988880786870587,0.00023406203048065868,-4.596999165632513e-05,-1.4114205153820919e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-29,201430,0.12691780854983645,0.039712395227531325,0.009818857130343809,-0.1645658609544435,0.018709609560762962,0.23248750738873417,0.06530219402822758,0.12125881515854366,-0.006199708422113422,0.006455810325672917,-0.008982939227821686,-0.011454108014264218,-0.04692569092724815,-0.026810378484563826,0.0427567247884315,-0.04049121140446222,0.04119755014515541,0.0018109191583877864,0.002455611740891819,-0.008823018184096768,0.0024598749752172086,-0.01716830438529408,0.015822537662497346,0.005249563013647416,0.015075616174059397,-0.015574301710220518,0.009623006067738115,0.0016301917136298829,0.0044861029543583585,-0.00242265807735229,0.0019625589701808403,0.007591675154640766,0.0016981318939575628,0.0024810586982211462,0.0014127962602654863,0.0008674108334803472,0.0011045361682198195,-0.0009455103477755733,0.00011383184956053378,-0.00015434621717753486,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-51,201451,-0.07649388979828307,-0.0669922851936843,0.01086463669711492,-0.002376145404446981,-0.004725883121714667,-0.028164194197227637,0.003165599862845986,-0.003216987071021508,-0.02940350672807976,0.022705500799037548,-0.00011075455473062633,-0.010117653311325164,0.008640717316027054,-0.009844811124750798,-0.010652285010169259,-0.006275652126684268,-0.005418195845386244,-0.008538329287393853,-0.007644995069294772,0.00019106833914369172,-0.003743418719239791,0.017844740176405794,-0.014300139505627892,0.002410818028901123,0.007363185470988123,-0.01152006918808958,0.012354686275220053,-0.006464994674102922,-0.011270433520407833,-0.006604396444119104,-0.005480467081054187,0.0048215410632244686,-0.003178541529774145,-0.005443613133239591,-0.007478597299559109,-0.003735163544930032,0.008404642203630543,0.0009075585188557921,-0.00161100491293936,0.0026601879626100837,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
