sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
CR-30,201434,0.5788732933018909,-0.0050174305585176165,0.24478350312865052,0.09476267592470408,0.007053809284433365,-0.028919481668509887,0.012162360026186788,0.013353009468748242,0.005377809881064909,0.0037986434407491624,-0.0030945731790789914,-0.0,0.0,0.0,0.0
CR-32,201436,0.00641428660445699,-0.010798898379286468,-0.18461970112799508,0.16231440842052344,-0.04304502229781262,0.12070904277829943,0.05362981210826154,0.03557741124409101,-0.028677162154992837,0.05253098534156353,0.004780187032513272,-0.0,0.0,0.0,0.0
CR-57,201454,-0.12167074508630449,0.15742432685873337,-0.009863289071858034,0.08348086096930367,0.1581774205197817,0.02524579146043787,0.07061755510148543,-0.06583805572113259,0.060803250132422555,-0.04246944078564257,0.0012296893046407642,-0.0,0.0,0.0,0.0
Tri-10,201575,0.0535517360500344,-0.22419658324699945,-0.05573665162573687,-0.051071506579211376,0.015312868388345856,0.023073595209088717,-0.03690460964342077,-0.012309818598734205,0.021611176140080516,-0.00441353200079199,-0.013714564806715865,-0.0,0.0,0.0,0.0
Tri-18,201583,0.057718499391114675,0.062474743347379236,-0.1757285579296314,-0.02806404393800983,-0.010081049197343086,-0.043137990064936134,-0.059045708318794216,0.03876539661932429,0.09461132732129901,0.02187732149153578,-0.02967664155272794,-0.0,0.0,0.0,0.0
Tri-20,201585,-0.03893045605001141,-0.2386413703825059,0.051405999253512795,-0.07902501321328366,0.030657711894200846,0.022197143073277158,0.0412418951129986,-0.025124358637757437,-0.027724446240211347,-0.026828562540183152,0.03531335205981344,-0.0,0.0,0.0,0.0
Tri-51,201605,-0.1239352766867663,0.10998168473333905,-0.009488274496398764,-0.0005521623139378377,0.027663621307136073,-0.12999542581657608,0.06617285966210566,0.08923167554555186,-0.037793477181011864,-0.010491143543309323,0.007225364684603038,-0.0,0.0,0.0,0.0
KL-025,201669,-0.18242463664803865,-0.0358662105173815,0.19321905542353168,-0.020545298902524052,-0.18464046724464175,0.01879665368751088,0.0555130012134728,-0.026993686561371136,0.04113607350688939,-0.010361255839865049,-0.030873415608669227,-0.0,0.0,0.0,0.0
KL-37,201674,0.23238629345251532,0.29818940456016807,-0.05032258535767992,-0.19319976984802076,0.0018722089134110894,0.0702041234475078,-0.00434111796466984,-0.02699446681506387,-0.03527878628174495,0.00903279578094264,0.0028636758770300545,-0.0,0.0,0.0,0.0
KL-704,201687,-0.08398810276237482,-0.026253320325297078,-0.03996801986121298,-0.08120136432454443,-0.013407455484363293,-0.056444461576781235,0.07871941719467766,-0.01962233833763937,-0.007606177096836224,0.057545999889065946,-0.005568395772924411,-0.0,0.0,0.0,0.0
KL-102,201749,-0.21256515940983964,0.11274917164727277,0.10480291784792706,0.08581316105145785,0.018132444254840167,-0.034968126964744904,-0.09441077912305729,-0.06680351621182291,-0.06511315412306373,0.026910218495572423,-0.03735823459634766,-0.0,0.0,0.0,0.0
KL-98,201757,0.06412036114536218,-0.1668569598464798,-0.13531559578925187,-0.005220728471820597,0.030245224040516216,0.00899072448882919,-0.01536189851786916,0.025863239168034874,-0.04657564529362826,-0.06616597424930262,-0.055805792806144956,-0.0,0.0,0.0,0.0
KL-105,201763,-0.22618531108720863,0.09851000871491572,0.18002702851112487,-0.016632647757288052,0.006224813083271819,0.08139670692893333,-0.06472513105414308,0.09483844540302004,0.011462738504511598,-0.025700445045694464,0.025683616230748555,-0.0,0.0,0.0,0.0
KL-121,201777,0.055702527412731975,0.05221714784969153,-0.16719554432348172,0.06548437558222561,-0.12814934020209087,-0.05869469884241297,-0.049465237420476635,-0.04669137755466746,-0.0025907364124631905,-0.04539749955661063,0.06235576629441521,-0.0,0.0,0.0,0.0
KL-178,201802,-0.05906730962756089,-0.1839157144550323,0.05399971541850045,-0.01634294659957276,0.08398321274031476,-0.018453596139922854,-0.053802418376757796,-0.007251559010579747,0.01635720929768384,0.06013188912197152,0.03663996683884265,-0.0,0.0,0.0,0.0
proportion_explained,0,0.36835409026951893,0.208956816376591,0.16985022866579588,0.0695805243704328,0.056431526928564735,0.03591965148922577,0.030087022551326677,0.021949717550957704,0.016656166592079677,0.013367909087645466,0.008846346117861307,0.0,0.0,0.0,0.0
