sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
201504	KL-CP-45	KL-CP-45_S140_L001_R1_001.fastq.gz	14255f1cba0ebc844a44724806523745b699b7ed2e85102b5faca5d29773ff8e	KL-CP-45_S140_L001_R2_001.fastq.gz	675086113054e4ae3fda8527ba958e46a701744abb439f673001265d3347fb82	1016	20240723T194127_rcunning	28908	23811	374	23761	365	0	0	50	9	23386	19	0	717	0	4	0	0	20	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	11
201517	KL-CP-58	KL-CP-58_S153_L001_R1_001.fastq.gz	24e6ff78fc0b7bca2ec6b999a1f2f89ea75bf906329c9e282ccf4fc7e627039e	KL-CP-58_S153_L001_R2_001.fastq.gz	d342dee9baaf8d7ed0fcf9ddd0d2e4de9b0f94df9f4b1e3a19de50dc733a1285	1016	20240723T194127_rcunning	23330	19742	279	19727	276	0	0	15	3	18945	20	0	466	8	9	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	13
201476	KL-CP-16	KL-CP-16_S112_L001_R1_001.fastq.gz	ccfda374c8950136340ccdc3b4f20de7e6d9acd2225be3fdbab3d4b467c99429	KL-CP-16_S112_L001_R2_001.fastq.gz	dd877917d96a954d18586b642d74059e543aaf4162c75753cf301572252cf7e5	1016	20240723T194127_rcunning	23749	20978	184	20978	184	0	0	0	0	20780	13	0	880	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	12
201498	KL-CP-39	KL-CP-39_S134_L001_R1_001.fastq.gz	807d50cc553a296b91e663d80709f359b6bdd608235b7e70e94d08ee9c14f003	KL-CP-39_S134_L001_R2_001.fastq.gz	9a67659ecb45ab8562f9cb11f4ea3f39b5c61bc845033d66e92ec54dbeefd275	1016	20240723T194127_rcunning	28265	24215	281	24204	278	3	1	8	2	23895	13	0	1155	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	15
201458	KL-CP-1	KL-CP-1_S94_L001_R1_001.fastq.gz	840fef66a53aaaabe824cecbb8b80d8ebce823b6501471a31bce0e290fc69fa8	KL-CP-1_S94_L001_R2_001.fastq.gz	92a9845b064bc41eb2c31184b4f296e2f2897e7e72dac48b3f1e9ed6666a8769	1016	20240723T194127_rcunning	26406	23255	237	23255	237	0	0	0	0	22723	18	0	1361	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	10
201484	KL-CP-36	KL-CP-36_S120_L001_R1_001.fastq.gz	9495c27f25ed7cbf2ce71750c323b8330c6d357cd50c552c4649fa81dc4d0c73	KL-CP-36_S120_L001_R2_001.fastq.gz	a768efceb015b2e7c23c51ee6b339b7a094d4feff82e26753c8d753ecd74a1a8	1016	20240723T194127_rcunning	27682	24223	295	24223	295	0	0	0	0	23959	14	0	1471	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	13
201460	KL-CP-11	KL-CP-11_S96_L001_R1_001.fastq.gz	745a3d351531eb69e6bd3bba9063b9e75d8039a35d0353eff99b16e2e67390dd	KL-CP-11_S96_L001_R2_001.fastq.gz	d455c5a9a314cd0322872f3cad5624591b8714c5a717957d86bffe2509c229ec	1016	20240723T194127_rcunning	28228	23409	266	23347	258	0	0	62	8	23161	18	0	1499	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	13
201523	KL-CP-64	KL-CP-64_S159_L001_R1_001.fastq.gz	f808dd01d6fc5e2b394b12efe001f49aea8a2d486ccaac7e7c66476567011ae0	KL-CP-64_S159_L001_R2_001.fastq.gz	0817909cd27ebf5ce881330e73bdacff8642e605da49c7644ec8e9b9909c5d65	1016	20240723T194127_rcunning	22284	19424	299	19424	299	0	0	0	0	19339	19	0	1253	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	8
201486	KL-CP-26	KL-CP-26_S122_L001_R1_001.fastq.gz	6a1e9bf7b983c2425e96b07125f4fadd69a4046a086a8760c91b27469b51083c	KL-CP-26_S122_L001_R2_001.fastq.gz	f0ebedde04b1b616c72b0a4deff0bd28b356ccf7327e187b90db473f3b8f641e	1016	20240723T194127_rcunning	35962	30945	314	30933	311	0	0	12	3	30397	17	0	2403	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	13
201467	KL-CP-7	KL-CP-7_S103_L001_R1_001.fastq.gz	f58024e845a0f3f8fa10b0f5def266da325a2411c74bf233300461cb672d15fa	KL-CP-7_S103_L001_R2_001.fastq.gz	831071f87e88235baf14591979591243d3155bbae48faa8fbbc2920f8df33bb8	1016	20240723T194127_rcunning	35673	30971	348	30960	346	0	0	11	2	30450	16	0	2366	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	12
201505	KL-CP-46	KL-CP-46_S141_L001_R1_001.fastq.gz	7809a7f67e85ed9b692104b9b089f5b5e3f81450372331e93b32ef21962f183b	KL-CP-46_S141_L001_R2_001.fastq.gz	a852cff4c38e799e505c10a5b5ccb20ce707e4244e0bddc82da44a64ef701e25	1016	20240723T194127_rcunning	19092	16151	254	16140	251	0	0	11	3	15865	16	0	1318	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	12
