sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157
R9,243173,0.39880894792701976,-0.44387121805100344,0.0017980165597914675,0.0025797462228092736,-0.004242780569283508,-0.10183324604302003,-0.00048336232181802843,-0.0035240120165858932,0.02414879284329792,-0.07861850806541287,0.003161385570284751,-0.009147590909925271,0.008219783906800872,-0.01424253154509896,0.013667097023780987,0.0030454000460752827,0.012358443528294995,0.005918624258550883,-0.013643450632647247,0.012376316611913513,0.006314026434677533,0.00231193953769426,0.0029347280469926395,0.0036848498516977423,0.001466111184138642,0.014354628606570984,-0.00944653829671989,-0.011850973109780736,-0.0034341730316875224,-0.007769780547386025,-0.0034095488975755487,0.001999181942231272,-0.025216909463609126,-0.0165234398805321,0.0020898798683958945,-0.0031928338930982073,0.01407394308695174,-0.008357429440442021,0.022385960572389684,0.01892748109153031,-0.007188917786992625,-0.013304002195872794,0.009316149388628127,0.0010186423589487236,-0.0015493962332927566,0.01881589193169576,0.004849866953234573,-0.004968782012488318,0.0010620090006744727,-0.008361795192319665,0.005277494655195614,0.003835308600152131,-0.0033575060604328537,-0.002313260336552478,-0.002465940693535701,-0.001674616854296746,0.0020809259472495813,-0.0004536390380844656,-0.0003993331771901006,-0.0018631900162446265,0.0019253917211805168,0.0009835926939990385,0.001371513624588097,0.00016333377936183084,-0.00017198617507937667,-0.001374232303637232,0.0019480944233740834,0.0005367633504737869,0.000622301675892445,-0.000317082089411572,0.00017165869429795188,-3.4923837502112987e-05,0.0007503591616735304,0.0004657675034707205,-0.0002648718429464777,-0.0003413261883907542,-0.000235357608447933,-9.00250690724382e-05,0.0001251821104628783,-0.0003213725534975017,6.704209155783553e-06,-6.853627181045439e-05,1.3188713242415417e-05,-4.197048566408805e-05,1.0796909001715907e-05,-2.046523068389984e-06,-2.6921661734584666e-07,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R11,243175,0.39870428410491565,-0.44519337114169816,-0.00011312160038200825,-0.001154663656940824,0.002567419849418466,-0.12285823612122222,-0.0015225043830455164,-0.0019338111555921246,-0.02707292444851317,0.029010194834379745,0.0050525247764086996,-0.003072002516066913,0.003336510702243322,0.007810814095403995,-0.008569895789326874,-0.006680122149243592,-0.010645573687639985,0.009157684639049821,-0.00621317121619058,0.004651786034181596,0.0004135891405279386,-0.0034927034156003616,-0.003142375121941567,-0.006446758988103527,0.004411030058393348,-0.02092708956964862,-0.013964067223468015,0.003614723650064508,-0.013826166939829687,-0.01322003568110666,-0.011647504319149456,-0.00014982973001604176,0.009256839805538547,0.0003038987602062929,0.0029690693510650303,0.02115447308798872,-0.0029832819939981186,5.7900191006227475e-05,-0.006946683306843772,-0.0047734693898855395,-0.0014564678522553133,-0.008633731950610131,0.006157266363450592,0.007650908679403565,0.0037673244466287486,-0.009803123524583493,-0.016590144361739834,-0.007935597183754882,0.009151859424696542,-0.017762501946204146,-0.002975805931170639,0.002543705261244562,-0.0023441674136525396,-0.005384263104547149,-0.0028417081935381517,-0.005683569250660014,-0.00034720551530472706,-0.0012299023068062568,-0.0071083055896268045,0.0035026830464939913,-0.002496607864325811,0.00012334305740498684,9.230455584175308e-05,-5.535149010381903e-05,-0.0017644404216926846,-0.001872778290775724,-0.0016596702723929348,-0.005422758203907093,0.0034484244872611445,0.0004514155555576958,-0.001592486722465761,0.00011650003461740279,0.000541842026259044,-0.0006109847991764493,0.0001289480036743593,0.00031665471669655473,0.00026486172730205866,8.48474856110587e-05,0.00015000133393955367,0.0003851150019348496,-0.00010487503824410389,0.00012061062874951666,3.885948781387365e-05,-3.276155310745972e-05,2.7450813098471033e-06,1.7776702167371979e-06,-9.39869494265658e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R39,243203,0.40242818371960176,-0.44909419887817886,0.0011913293126187537,0.0013201213941308758,-0.005336242411590818,-0.07822018767882145,-0.0018256527769696617,-0.003203574073434951,-0.007433526518494128,-0.01477898023847023,0.0046968144221648045,-0.003967244560278048,0.0009765250847895866,0.014831167797970108,-0.0028202131882028476,-0.01252618884731664,-0.016143207101428084,0.0009318209679786832,-0.04283012496043931,0.03836168215021126,0.0044775028034416955,-0.00258789514476461,0.01236620408028877,-0.00830059143662119,0.005745525296330108,0.003835283270626203,-0.01416547957339246,-0.010795033539583354,-0.007635972261668794,0.0005865952932757339,-0.0008160205776596035,-0.0007224215431339813,0.012210710341464941,0.004429405681338732,-0.005748739011514521,0.0012444515414792782,-0.01113469783793068,0.003637279044573914,-0.003783114544366028,-0.003125490506422196,0.0009238591907613505,0.0038086316291290633,-0.0029390096621383028,-0.002850691052054781,0.001958834073102591,-0.007388185894035534,0.0064093607412364535,0.003965587266083583,-0.0007335480597161044,0.0005634611188249477,0.005973840946500693,-0.008553602951674677,0.002636228453032659,-0.007553496673018355,-0.0015242421065255736,-0.0028507875530873975,-0.0002593793868204959,-0.0009106395752320941,0.0016018916783471248,0.0026467504880705655,-0.0019499600582585503,0.002077849659948374,-0.00013259362986424786,0.0011534485610133535,0.001179357053435567,-0.0008368939195458449,0.001598290757623509,0.005341898962903244,-0.0025477448872338456,-0.0012901862744720738,0.001220502526485102,7.657895502388781e-05,0.00012468530036166978,0.000912438832377368,-0.0004533891763700289,-0.000705204807177332,-0.00031164664622019205,-0.0002769533615441659,0.00034363285169032825,-0.00044667424958457966,8.919200541641984e-05,-4.349986046622329e-05,6.1441032948243e-06,-0.00011568471388497907,4.461402901428216e-05,-6.718799236046625e-06,-8.661277922263846e-07,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R42,243206,0.4009606590834117,-0.44771825203106025,0.00047134364999284323,0.0009336602066627932,-0.0026489613380717776,-0.09128086943655377,-0.0012300424039645116,-0.0019802677838090146,-0.014499542008988208,0.012960547817105839,0.0025150907962665824,0.0014546221748363574,-0.005335133343503064,0.011942443270882251,-0.005710916762929181,-0.010466849312575926,-0.028925567700519805,-0.01462525671632682,-0.023271343905629547,0.019958592586840147,-0.012525415680234448,-0.008308906083195382,-0.010698098942979175,0.010475028934520018,-0.004799471718983751,0.012000235668224103,-0.02988064044089846,-0.019533589279044875,-0.010863816735923714,-0.0011682896651282692,-0.003554349443753507,0.00046782677999996047,-0.008924930628967256,-0.005963397970522966,-0.0012273773275405793,-0.0014457290609521571,-0.0017967564784725166,-0.005422394876401315,-0.004240265761726267,-0.00808285305014041,0.008770321112027175,-0.01248201033800359,0.008029151775758268,0.006094957691972806,-0.0033421842487671573,0.007826462307296446,0.009074667421598641,0.0009755464967752704,0.0007929512596444713,-4.287046867590447e-05,-0.002124222331805239,-0.010010880711259343,0.0041660589381066915,0.012854976513474028,-0.005449562628972567,-0.001030306095837147,-0.0006436819300117458,0.0030060797786564688,0.0030404177547107814,0.0025815063618961154,-0.0025707646282719836,-0.001972617062603925,-0.0018285325652759904,-0.00036851345532891444,0.0006879090773898057,0.0021970688225394397,-0.001501116351156003,-0.0015336415382876676,0.0011812340975497064,0.002037580254098979,-0.0020597814659660137,1.6613468586445733e-05,-0.0005560558885120892,-0.001709366641050152,0.0010636820182452578,0.0013233681924570652,0.0008089827354442405,0.00026470311954652034,-0.0001168729610446055,0.001064260414711813,-0.00010580788567579393,0.00019652245282004752,-1.8523279245184222e-05,4.5824224041524225e-05,-1.663716283559262e-05,4.611226730592543e-06,4.0247077482836586e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R44,243208,-0.4889298267881305,-0.03587210230114573,-0.11458345428946169,-0.037943334060699885,-0.0465522161680778,-0.003021665318823077,-0.03620118609999668,0.015103502171184283,-0.03405758212467749,-0.01255230592509503,0.07725075159490333,-0.009424824158977139,-0.05243056864488279,0.004209863109668612,-0.0015354932645682462,0.021061246918882257,0.013117656178503308,-0.007747320221076977,0.01718303459671764,0.0165015335403281,0.02967912310765858,-0.0002674680976850883,-0.015469577716086421,0.0009491549406102937,0.015535330100974451,-0.010156554901867251,-0.014133356316257494,-0.005680127427493449,0.015938791546775813,-0.00125789341616374,0.009497821518245698,-0.003432870670696962,-0.01388313230612205,0.018812715256293574,0.001514200884191335,-0.0006877848147033868,-2.484096121803345e-05,0.0005392583246884135,0.0023117275866942314,-0.0026530301333554207,0.002231488926877626,-0.008585610738485093,-0.011212864270402176,-0.006633986190049207,-0.008500552005645692,0.0014777265435671444,0.001911706003585792,0.013970482154563481,0.013636353789657222,0.0025731468939743708,-0.001964335270400653,0.0010538639191589871,-0.006447843819514822,-0.005259242988739226,0.0020088112223739813,-0.004721766479253558,0.011892832608125823,-0.005611975671824449,0.004940611079309177,0.0001535493341342288,-0.005402532158385086,-0.00036453683509655825,0.005434131153426908,0.0005327109600047232,0.003346110421156364,2.0629839687564497e-05,-0.00024199395908849254,-0.0011079491175837075,-0.0005527949264153957,0.002304808111756091,-6.0823408956574324e-05,-0.00020879279420388675,-8.977352283144244e-05,-0.0002630291782065365,5.204021671836409e-05,0.0001073004321859854,-6.093812342884688e-05,-0.00020447044081310317,0.00042102135447995173,0.00026630169649417243,-0.00023149684049269387,8.363442788026866e-05,-2.9221215314625335e-05,4.859558964829407e-05,-5.258319714164543e-06,3.0932218450328046e-07,7.758824021498193e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R65,243227,0.3959725841527207,-0.44165650000546736,-0.0004411267311948118,-0.00022515422157937866,0.0060230079005141185,-0.1547390914203539,0.0002587734887531909,-0.0007426578902978699,-0.01721861405957406,0.027871622474171954,0.0009453570484203596,0.0008796185178820438,0.0004122165502646262,0.004903393783812228,-0.0026783813025042327,-0.0013468752164648757,0.0012147625796089768,0.0034579044786775433,0.003596948029930373,-0.0047721227626151665,0.0023115949632664065,0.0006902070669178749,0.0025982237745940896,0.00018834254959527942,0.0009960675303694385,-0.005377561093015005,-0.00012238288842793526,0.0043285960545521845,-0.00101358540012875,0.0038037320200265843,-0.004102866573836906,0.0025978832717960996,-0.00409736336938154,-0.002401227739017587,0.0016674728089925046,0.005127365627951758,0.0012209640354017633,-0.001379635344520978,0.0003734886479377125,0.00019444312966032006,1.5364492210491597e-05,0.004927488911230051,-0.0031223223471116873,-0.0024076613484714784,0.00020124384406943014,0.0016876922134536401,0.002871833656058218,0.0009803577932974304,-0.0023375911688087404,0.0045187718320065596,0.0017159296474961831,0.0026593522529635,-3.722067254329452e-05,0.004536646783724833,-0.004914676982583395,-0.003900094760869915,0.00020496221757903033,0.0014468774471224652,-0.002737085182117822,0.0023591611813703972,-0.0032243584492704686,-0.0007587303315669997,-0.0013281015776164112,-0.0053655644921281834,0.002468638774876205,0.007469667913803336,-0.004348090863265305,-0.002288641837231439,-0.002126141495594794,0.00229672532397268,0.0006138107261844853,0.00015941338797189456,0.009416329329609683,0.0036965772553192336,-0.0024019410197311324,-0.002262895962813849,-0.00022686735260456657,-0.0025063487623713447,-2.8064893201902734e-05,0.00041506744926697597,-0.0010873810590376638,-0.0006196962659588655,0.00013084895360801835,-0.0004175856291256822,0.00010882715179633564,-1.5001634121767132e-05,-3.244358620573385e-06,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R67,243229,0.39482228698876554,-0.4401608342770302,-0.000555406922009491,0.00012821878509774927,0.007220475618658195,-0.16512436862373744,0.000923024242042562,-0.0003440818138063383,-0.011900598674077546,0.023042061773557113,-0.00041090569584042904,0.0014869509232659577,0.00048399793094405265,0.0009613795014814124,7.95463122906933e-05,0.0020550959714714895,0.007766158346014972,0.0030480348191784124,0.010149581863966556,-0.010212862588296089,0.0029500736420776537,0.00211788220411048,0.0016348637331877044,0.0006007516912208312,-0.00047581902969608494,-0.0032289907572136756,0.00554762930341233,0.005393552105521095,0.002408412617682088,0.0027104609604487674,-0.0013508392396976209,0.0015402401303327064,-0.005762138811089245,-0.002693408590862249,0.0010896073192534772,-0.00037044598262197484,0.004435088067291006,-0.0006965412370563057,0.006413144673248817,0.008231445880700263,-0.00665201653164313,-0.004063698724822884,0.0025170177271874187,-0.0028979272044952365,0.005285317771888128,-0.002919159042214534,0.0028690360965446518,8.332348150290992e-05,0.00485259755227345,-0.007238213086592269,0.0008583224499710784,-0.0009094112715708465,0.0006814645002594847,0.0013398249009094537,-0.0069980649960565645,-0.006245232581128949,-0.003852584753145852,-0.004249398765698885,0.005812056736173878,0.007810191908685044,0.0005782538499524169,0.0007060081318999666,0.001805786724229797,-0.014701436997366488,-0.0033083853294349993,-0.004524587139482372,-0.0017145039413089646,0.00375914152826153,-0.003844909105253531,0.000810908553048282,8.785519593898406e-06,0.0015215773312414209,-0.008012888888318179,0.000676441564705491,-0.0011339537760457928,-0.0014412257763684827,-0.000535235928035275,-0.0002976302690068765,8.128816247642791e-05,-0.00042003482805370157,2.835591632305852e-05,0.0003824590495744118,9.12537133823843e-05,-0.00026591835755257937,0.00011458871718216974,-1.0636451010100629e-05,-1.0850592720904564e-06,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R68,243230,0.39437146234906617,-0.43955009159859565,-0.0005475936607530484,-2.990569277834201e-06,0.007690189458876246,-0.167766010403868,0.0009638155301034903,-0.00026738907178695115,-0.013467627151080557,0.027429338064272297,-0.0006665097140593655,0.002439553536254946,-0.0007940445197762847,0.007667287560098599,-0.0029699812644860893,1.4597074096364142e-05,0.006013379131507719,0.0008020899715510273,0.005000253986859674,-0.005837475513722832,0.0036031558025006374,0.003166952017304639,0.005347630636243134,0.00042680109518889033,-0.0010959447482323402,9.86335373785395e-05,0.00715500647005245,0.004531707217556319,0.004775052423670955,0.008452714530101183,0.0008036866321788806,0.0022483516390063877,-0.007357068682139152,-0.0022705509923753634,0.00017152198234224756,-0.006252408119889938,0.002321868157389163,0.0002949371448890997,0.005245497945692493,0.004309084708297685,-0.001491463704006445,0.014645162721845208,-0.009341029479340006,-0.00727111881516482,0.002259017504574097,0.003191844058087907,0.002941761247769882,0.0004406527386167521,0.0011886230942608782,-0.00027205019289227304,-0.004000281395726009,0.006926445948401527,-0.0008397761988908768,0.015681236039246912,-0.007065932197164473,-0.0016744115885896623,0.0010679662251550119,-0.0005463487434049639,2.5331240948930298e-05,0.0049699454400443255,-0.004194126262712043,0.0015023560307159747,0.00012332677713726634,-0.0014009224144515171,-0.0016722667307820078,-0.0077099428552585714,0.003994076929007724,0.003929629193515108,0.0019621139386959375,0.0014846095117608878,-0.001467889905343862,-0.00025314067470997214,0.001269539279689503,-0.0008589247042738655,0.0005760973733671524,0.0008465207710534025,0.0005753891944479758,0.0007639589097893961,-8.956157613692882e-06,0.00035232430756286287,1.5051275098144508e-05,-0.0006200050119387129,-0.00016750195782556996,0.0004855580666793677,-0.00018272333428405183,1.734615507226357e-05,2.1768757490619256e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R70,243232,-0.47471874687825866,-0.034621675176674985,-0.12875507386407678,-0.12675132575004935,-0.07706243380966972,-0.00522977194773972,-0.0382202431876773,0.01842449257817178,-0.03635619509777488,-0.014860560424666932,-0.08634675677111601,-0.002552845032644208,-0.026676027393502534,-0.0034165796861527534,-0.006952765055728563,0.01402151992179259,0.014471957395458852,0.0029923169854231394,-0.036234319836937826,-0.042800917482253766,0.002851526393846539,-0.000517790639920647,-0.015032367980631706,-0.018006133674277926,0.011934300455431757,-0.0026979070761953988,-0.009789240534132574,-0.011563344148615458,0.00859124442689114,0.006814636293322839,0.021777246303922932,-0.0040828439400606865,-0.009326419435303985,0.003093567750812442,-0.005305148008479489,0.0055108957390097475,-0.003983684272393835,-0.0015888467497709319,-0.0016418782097445707,-0.004909996255956213,-0.006188098318715251,0.005907621109098801,0.008492410286705014,0.002467175153400682,0.003272613935146594,-0.0003370019052663731,0.0050930962720319665,0.011216765465782414,-0.007549832153136575,-0.008830577985582063,-5.2675501916702725e-05,0.0019799343007999275,-0.006560068010227794,-0.0017839937419542018,-0.0012666915137252441,0.0028171664804904043,-0.002360163077445643,0.0030509800714350974,0.0010077611627404902,-0.002168673871750753,-0.006619645550722678,-0.006370755880539692,0.006913580255888998,-5.18973584267904e-05,0.0007968098499080746,-0.0011185762775180947,-0.00029867686646085136,-0.0009515464690998986,0.0006839654543077609,-0.002046190591023881,0.00031182370003238495,-0.0005848847295611907,-1.3460470138777694e-05,-0.0006519441885016328,0.0009839632180139572,-0.0013115282347416265,-0.00013459312938629437,-0.0008296165393882146,-0.0003620696896049006,-0.00035885519319144563,0.0001726251216478614,-2.1584381732025178e-06,2.0450698769491955e-05,-3.414015095430573e-05,7.3975157766247244e-06,4.373234475088866e-06,2.187503675050663e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R75,243237,0.395023002983925,-0.4403540191705242,-0.0003878521240770604,-0.0005726584213193258,0.006873624094644325,-0.1606923983914774,0.00018103304814341865,-0.0007990038324705917,-0.017974962946579947,0.02797163646153401,0.0012978781884360692,0.0008274430555294226,9.130906251819258e-05,0.005442918182628547,-0.00219738264354144,-0.0026564979138898014,-0.001341380101350273,0.0032745305126327226,0.0021719023072671287,-0.004344105765053219,0.0018083326339694442,0.00041808402141189563,0.005244877307924398,0.0053674271663763365,0.003824529004962882,0.001387569547015623,-0.006288874868194164,-0.00038132991394536846,-0.003488256429770869,0.0019036348385661783,-0.005908198661751143,0.0031709505344258127,-0.0029193501310819598,-0.003731048976548906,0.0066130131700893185,0.022751240512907056,0.001569491252776093,-0.009614674284601396,-0.007630249773446243,-0.012041321993591826,0.012789856847130392,0.028259751244473018,-0.017292550424962624,-0.00696910538283598,-0.004513706054194898,0.012602760507752244,0.008735606751024692,0.00023687267460124404,-0.004123970608525937,0.00517423777455652,0.0021376638362105233,-0.0013833945652165773,0.00037628199742651005,-0.0026232097910342234,0.0018372308488144287,0.00048648007182763284,-0.0008007789261438195,-0.00010289502685986618,0.001363686302071588,-0.00044398364067440584,0.0009450858911847806,5.691681212814819e-05,6.1012232743885706e-05,0.0025442496559735786,-0.00024183274131611538,-0.000808301175753635,0.00031798217117294026,0.0005190118181395631,5.798150704607805e-05,-0.000528735185230637,0.0015401453020165298,0.0002263031098481114,-0.002279670060363543,0.0003297735401922088,-0.00018995622822170948,-0.0003642023828719526,-0.00043844129587772816,0.0006025698931652342,-2.5476203923825998e-05,-0.0007756061469784743,0.0004356023410803999,0.0001467745743004153,-2.791190195897259e-05,0.00013259694687404525,-3.081739762532347e-05,3.3771227100224665e-06,1.1023921673165986e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
