sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157
R244,243397,-0.23177475415091744,-0.24760976099144555,0.03773695597805229,-0.20415581996669843,-0.0737375516419747,-0.017849900068464472,-0.010363007250418657,-0.006936220941384095,-0.02631462748164181,0.05193387478104158,-0.0004601469919755748,0.009632171788582212,-0.004730058154445726,-0.003916578835966082,0.006964784864465259,-0.003566441797429016,0.0009577706448507707,0.002893438280713617,-0.002005330035320184,-0.0013020542312056549,-0.002052865191136299,0.00019827919312224312,0.0014472095009343065,-3.745848871835141e-05,0.0012166293265784389,0.000876228798496098,0.00015982293959306706,-0.0008536693361754577,0.0004372421883473437,-0.000227660141623615,-0.00025969748211671523,0.0007420707742034153,-0.0004093966337078526,8.917945463377223e-05,-1.606980455100323e-05,-5.248829713115409e-05,0.00010845181015431298,0.0003845772519962143,-4.075161097278524e-06,-4.6993446247179775e-05,-8.221952408186874e-06,-0.00016274704865064602,5.4939235032727306e-05,0.0001837662291098418,8.431359831962744e-05,3.868673376020374e-05,0.0001568244493964607,6.162196779506675e-05,-5.026231362028863e-05,-2.346472678769421e-05,2.6801773892257365e-05,3.2431090339193776e-06,2.5355748051733116e-05,-4.4155348795872034e-05,-8.191653056959164e-06,-4.215338843554372e-06,-4.579573381353473e-06,-1.9352832550104338e-05,3.362056726288932e-05,-2.8428943034707872e-05,4.851693838407083e-06,1.323102776365875e-05,-3.560106230905613e-06,1.1159152443442387e-05,-9.656443621087795e-06,8.057523377080189e-07,-1.1397935681289623e-05,1.2635054307999975e-05,3.769020901341124e-06,-4.38576159559906e-06,8.858589261806735e-06,6.027260759751451e-06,-6.413166299931861e-06,5.19605600433102e-06,-1.0431463731577476e-05,1.1665797975572378e-06,1.9636274120113643e-06,-1.267100433201201e-07,1.0489472682727014e-06,-1.55015652591798e-06,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R303,243456,0.10542941157558364,-0.33910549316232597,-3.081397988311428e-05,-0.0073891254579396435,6.534074491217022e-05,0.004751018607035864,-0.0014451950752092982,-0.0017691528683254627,-0.002781026441704723,0.0025110818133925053,-0.003147041109532919,-0.0002270576296664252,-0.0024023488657507913,-0.0013952315548245798,-0.003232236172908959,-0.003801802105957446,-0.0023569182610678886,0.00047874457152998276,-0.00020376795323246178,0.0005404453734954654,-0.000644249322131746,-0.00013183133988004244,-6.664119752544683e-05,-0.001365667076965677,0.003296761855439149,-0.0043937177851591505,-0.007970396247754667,-0.007448955038208672,0.005005568193808815,-0.0016682875583241355,-0.0009517326455750252,-0.0050633108892396625,0.0070644617293105835,-0.00281865189349429,-0.006198318600135479,-0.00786932171851843,-0.0039093423053132535,0.003015870287081728,0.0009098638671352572,-0.0008699311670883469,-0.002227790130333957,-0.0029166477011911313,-0.0004806625750171463,-0.00023233293789912644,-0.0014592122567472197,-0.0008470005302422444,0.0007986120601671496,0.00020080611113412804,-0.0004942877073143993,-0.00047299597393150216,-4.7911733660476754e-05,-0.0010465963221088824,-0.0007055623341536874,-0.00016320554809946282,-0.00019138251594444947,9.544155703357311e-05,-1.789161477977076e-06,3.151488321444123e-05,0.0001811839232649543,-0.00011583195837944764,-0.0001968442587388605,-2.0583779213299498e-05,-8.775973426614471e-05,-0.00028321674528166216,4.5772596112253385e-05,0.00021828162161746553,0.0002466469021552634,0.00016216518080981455,4.031383054669409e-05,5.1980818000273474e-05,-7.387310131616935e-05,-3.636479372150915e-05,3.658432508140978e-05,-0.0001206903370609562,8.048136462751956e-05,-7.541054403133624e-05,-3.683728313035443e-05,1.384439379246139e-05,-2.5365992809623726e-05,2.7963172135284552e-05,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R318,243471,0.11323963775296642,-0.30096062690972736,0.0016606333068416405,-0.019276741833537964,-0.019092796062332575,-0.002141573758866373,-0.04081909133284518,0.012447356019460988,-0.007818958230351076,-0.006763951863965194,-0.004305467898416257,-0.000458517169107424,0.010911431957432206,0.0029488892677804694,0.010144369766233887,0.013196332153790447,0.006289288098979529,0.0008647254528282961,-0.0019505068466288734,-0.002878936217310485,-0.0011613927548460878,0.0033785102996062803,-0.004234169239683204,0.006118081806726507,0.015214466762569672,-0.0020024621170363606,-0.0035364952050291935,0.003943808995807315,-0.0021342883869333784,0.0037103697097183694,0.003060952360882048,0.0057799941542756176,0.002226615880692675,-0.00017183759864720246,-0.00013314438148635468,0.003665468085012277,-0.0037830326118344247,0.004885146503734833,-0.0008517646543316152,0.0013466674268956152,0.0010132786819346043,-0.0007927895523942228,0.0018299097608204687,0.0014674282941474271,0.00043888885507412096,0.0027908649238426093,-0.0016361754105659431,0.0008308815260132786,-0.00012110271543252313,-0.0002621818482434301,0.0008279441321641249,-0.00044966051362928337,0.0011091113023998962,-0.00016348942061733855,-0.0005044429354384375,0.00010899272281852783,5.4633302860932334e-05,-0.00017107653243676572,-3.830720576587502e-06,0.00013131055500879322,0.00010157355651201408,-4.470153318145082e-05,3.390030423371893e-05,0.00014651875602453784,-8.560039948427336e-05,0.00010062524149224967,-1.803450989108445e-05,5.911425852560353e-05,5.146634412773793e-05,4.260190861783913e-06,3.325975242857713e-05,2.406492890338854e-05,-2.715019501103015e-05,-1.8943115487266348e-05,-4.287513179947012e-05,1.2446335277706728e-06,4.585851017583088e-06,1.3884543176612574e-06,9.254282192770567e-07,-8.200337436071441e-06,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R333,243486,0.10511739078253952,-0.3380553892851556,-0.0019060182694858063,-0.007453462762322907,-0.007627557770547267,0.022467515076234332,-0.003679371840351715,0.0015144254855040497,-0.0027822471014671323,0.0064197008711023035,-0.00783442860324074,0.0001406390977106348,0.01439496572135807,0.012903158967736111,0.0007209300862492723,0.005014070552545593,0.0021319264312007415,0.0022054815222426545,0.0008815235250469989,0.0008210829749503742,0.00013833490272874478,-3.145556262615414e-07,-0.00016042809518636658,-0.0006453673209221296,-0.0013947743547337227,0.0005156530392071049,0.0006078381689003364,0.0002822539640508707,-0.0006600938659722756,-0.0010183486636894741,0.00020978550684181267,0.001978236512724195,-0.0004029721349445576,0.0005549930936965013,0.0005455321511621287,0.0001412299144386324,0.0004500038271261389,-0.0008707061472326616,-0.0004383723894927523,0.0005582606486189889,0.0006503029862498725,0.0006288562965770718,0.001957578271802785,0.0005783118818157015,0.0009706283563690015,0.0021467453812551753,-0.003191434034106386,0.0010541067716472,9.653221861477143e-05,-0.00019248886471041822,-0.00012337444719564674,-0.001641213473364113,-0.0036882548527029284,5.468392199531681e-05,0.001053366970423999,-0.00034977312233226227,-7.638819530969004e-05,0.00019307204151965937,-0.00020555153832032717,0.0003709800323433588,0.0004793798934127436,-6.161296695675735e-05,0.0003767447359793182,-0.00037048151044787487,0.00038541356463056575,0.00022755277997985477,0.0006163273649710592,-0.0002353436239295009,-0.000465829659731245,-0.00013419511585850946,9.313977044280418e-05,0.0001020832300716125,-0.0001095797810921507,0.00044001030779586845,-1.4158925936154967e-05,0.00020246029767937655,4.800132066910272e-05,-4.9802027167358514e-05,0.00010656617548779695,-0.00010712862605431953,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R334,243487,0.09778015796854944,-0.3139621971670897,0.001797117690482204,-0.004000803283903531,-0.007721577523657247,0.014974257348466056,-0.002584581449501348,-0.00012211626063052,-0.006512644668639959,0.01976769456472433,-0.005354982579542644,0.004505150946608938,0.009482135521424894,0.008453856798665428,0.01030903204309723,0.004620967356447705,0.004814146839813056,0.0017833457869548609,-0.0010346637600715798,0.0006053413150258215,0.00011823815298299945,-0.0007149625294033855,-0.0007599533693309411,0.0012022951904386114,-0.0016543980098559013,0.0011966450357643937,0.0017138975965641351,-0.0007664300842549603,-0.00017147764203723906,-0.0023281653346050625,0.0002592139435849324,0.00416746858253361,0.00039420490243768973,0.0005730481498246473,-0.0006619831905095575,-0.0032822624934329735,0.0003917745655903503,-0.0019436091350090294,9.778899634774126e-05,-0.00023534407553667974,-0.002075299233916926,-0.0012514030489038665,0.002591788230764018,0.0013412612135981408,-0.0005195489321243823,0.0018873012131070315,0.00039209660450286436,-0.00012879380779080661,-0.0008098993032836822,0.000631227717261333,-0.004371366512534759,0.003549957455437447,0.001344726574998709,-0.00011237557512570365,-0.0005586576144386186,8.761025894275595e-05,0.00019453875021966768,9.837877261639354e-05,-4.808505905735912e-05,0.0003025011264858485,0.00019435373273768848,-0.00010454421422021478,5.410897939018827e-05,-0.00018780635293902967,9.880698103204883e-06,0.00024635330589074756,0.00010622196206170784,0.00020280446398551402,0.00010208528081900249,3.9153000647428125e-05,-4.0361480450925974e-05,-3.198982312749797e-05,3.830651421717915e-05,-0.00014480217439747308,5.986695081908118e-05,-6.933713765883331e-05,-3.5123938277283996e-05,1.6414354373684272e-05,-2.4642387443911825e-05,2.2713328918417084e-05,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R337,243490,0.11300307225852488,-0.3637730994611174,-0.005920469460813544,-0.010536143710533307,-0.006824449907383347,0.02980348939111479,-0.005435746095665101,0.0030233913540016377,0.0008697608896769261,-0.005391065502803881,-0.009918495712024468,-0.003870449144680703,0.019740136181170966,0.018162179902358324,-0.008330469603571039,0.006296754678052512,-0.0009766773779719407,0.0032011640001025476,0.002673621520420648,0.001168774607797661,-0.0002733385078076719,0.001886543053320033,0.0001640342999019469,-0.005713774854182755,-0.004867583904952127,0.0015502336573136963,0.001204579668386213,0.002082178932400742,-0.0024030373801646903,-0.0027641328872645733,-0.0004062145535856164,0.00035944313643907475,-0.0020052682047412675,0.000803026853514493,-0.0003998509249559002,-0.0020426938681325922,0.002033272557789299,-0.0007587504321410525,0.000821900040464495,-0.0013889868891161876,-0.0011850472809499374,-0.00015008463542310723,0.0007233626618163397,0.001273460083697054,0.00030960246143893586,0.002096268796862955,-0.0005431228289660195,-0.00018298017093142587,0.00010729410959026005,-1.041146960606185e-05,0.00131702323245101,0.0007846825170937319,0.0029605047243504022,-0.0003643508157509689,-0.0010175500362203324,0.00039059833239131405,-0.0003643533781321414,-0.0006765392373397741,0.0006268246617022855,-0.0010872409182136375,-0.00113413003755616,0.00026502015211837,-0.001253194156443272,-0.00045231872117757225,0.0003621899394558502,-0.0006202841103057043,0.00013190298678967586,-0.0004714965216363387,-0.0002057318486250641,7.15147255503409e-05,-7.601215765941621e-07,3.5232303930512774e-05,-4.478574578806586e-05,0.00013292778015917695,-8.189404987710962e-05,5.2288593580126374e-05,3.2203002083236195e-05,-8.577655480513205e-06,2.3332348585267046e-05,-1.2161505879460918e-05,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R338,243491,0.07412256614864553,-0.23298064075335995,0.012294480915425591,0.04137891662170375,0.012604517705811858,0.005794549407564207,0.01859718391913737,-0.00033646777314194534,0.00576656868653637,0.003946394286959191,-0.0012140535862690271,0.00047873641694268253,0.018571185638964396,0.02023539007717016,0.0023007406671243626,0.014870885779500062,0.007964070416442664,0.0040621211037856625,0.004403472806178592,0.002318712537006505,0.0019369383480042008,-0.0002788504046634298,-0.001531823961429383,-0.0019868803480864996,-0.0030842784062873377,-0.0008348684357346488,-0.0008929749902102136,0.0006627331929365903,-0.0009320284041942251,-0.0014185240120730214,-6.408031666840203e-06,0.0007063684389909894,-0.0016227000282814541,0.0013324754219017155,0.00019459908511011806,-0.001311769061717409,0.0012952260244452416,-0.0003623583397771573,0.0003334937155972814,-0.00010129902108744466,-0.0004985994887697164,-0.0005861147720790957,-0.00020369672381922066,0.00031230232816959353,-1.5358377373440033e-06,-6.339716377814009e-05,0.00037142017199572584,0.000291471996104819,-0.00023848899646154451,-0.0001473576814147971,-0.0001906339079221111,-0.000227019071691219,-0.00031291871936320824,-0.00018258227032586535,-5.4007849560984414e-05,8.511833743020348e-05,-9.016465328407419e-05,-3.524791241758164e-05,8.382821342468285e-05,-0.00012200753272168554,-7.085088868901088e-05,3.724055528691965e-05,-3.1321666287624304e-05,-0.00018486430993657876,1.9920109781913316e-05,0.00010403257421329196,8.44201591489333e-05,0.00013224206175741076,5.094555661913267e-06,2.1537009959251903e-05,-9.929214706912427e-06,1.9247941934841846e-06,2.298740529338673e-06,-1.814576335800981e-05,2.4694690720102883e-05,-2.607554681134388e-05,-2.4243721860914324e-05,8.316860740299729e-06,-2.125447293382429e-06,8.325618155364253e-06,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R343,243496,0.11331508917668165,-0.3650925777803924,-0.0039114567411034935,-0.01090634464031737,0.0007380737777928112,0.01155679486810302,-0.0025696780087206784,-0.00021957624955528724,0.0013923785480917045,-0.012447795270625475,-0.005065112012454537,-0.004981811019984802,0.0007162105686642694,0.0012291618892911723,-0.014531880243713512,-0.005535289211044481,-0.00659824643731638,0.00037000910435856804,0.0017482545715459328,0.0006919006297849688,-0.0004528758120752858,-0.000852910812925265,0.00381816269723956,-0.007599267848417201,-0.0041882413454005386,0.001791967556993032,-0.0022523997688765787,-0.003040456665401115,0.0010987717335729159,-0.005400780054749886,-0.0006149487207331426,-0.003966045344081084,-0.00039225415856730434,-0.0011105577761006719,0.0008331726855520333,0.002789126075979725,-0.0012754084519333,0.00019101314011136448,-0.0003019177156416504,0.00041014302743768723,0.0004381276831974763,0.0010300927410850003,0.0010093401734181822,-8.757741244340657e-05,0.00027084394399966305,0.001581934671526836,-0.0021415314740203515,0.0002130154942745853,0.00029074370171319253,7.141621338177581e-05,0.0006400808323845728,0.00032031017073767647,0.002274231682609286,0.00045958804142365425,-0.0006104166329189053,0.0005511300456554037,0.00022277940005419148,0.00043209695404359866,-0.0012356738876002672,0.0012856215834687367,0.0006939103707628044,-0.0003429111200649984,-0.00029513357768122045,-0.0009553384888259717,0.000559219283973907,-0.0004875932669103458,-0.00043467435135166187,-0.0007740598034791745,-4.5378618255096246e-05,7.038901930575886e-05,-0.00013401711962921455,-0.0005637692240474102,0.0008705395968900654,-0.0004713872904153163,0.0008576769219400978,8.01630897368051e-05,-0.00020256420721882765,6.002976701378813e-05,9.998449265070948e-06,1.0275493655809562e-05,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R346,243499,0.10633042924430569,-0.3422510023531059,-0.0004096379246165122,-0.007806240349625303,8.647337379167816e-05,0.005212519466558922,-0.0011777612052175815,-0.0013400633076104788,-0.0016022657537002295,-0.0025243595515911095,-0.0028956812863925327,-0.0016614926051719784,-0.003569174418939036,-0.0032485156818560937,-0.0073565650854364685,-0.006070792318856334,-0.004208145178160454,-7.071760178383775e-06,2.9507032151491285e-05,-0.00033712824581104157,-0.0009303348295784864,-0.0010995966131292284,0.0036542192450505105,-0.0028034375447929987,0.0007113940854324482,0.0015371233063042197,-0.0015534520295353974,-0.0026849285135206787,0.0018433671373412695,0.00019610997382447988,-0.00022589007567977922,-0.0019420069778745897,-4.90436664533506e-05,-0.0008028150422732985,0.0009307142784092177,0.003205658000197549,-0.0009716572040498087,0.001385942986663493,-0.0004337035904359033,0.000318130084116497,0.001176553818700252,0.0004354701431164593,-0.0027535755020905474,-0.001955766205043352,-0.00025280644523046237,-0.004831285225951905,0.003222918923648015,-0.0008016126594806362,0.00018624944959557546,-0.00044597536391032086,-0.00048382402243564264,0.0018593117659083404,0.0028232907542094774,-0.00029320807330464365,-0.0006993429495376775,-7.776840578814795e-05,-1.2721818282082336e-05,-0.00042404856567530245,0.0006043550991191121,-0.0006014848359888412,-0.0003662531018063397,0.00014537443273807645,9.02647360449994e-05,0.0009581275344459861,-0.0004643194317576033,0.0001376819888756821,0.00016755785057198723,0.000151587023641055,-1.7139222465343967e-05,-6.309260320755567e-05,7.928150351683256e-05,0.00020722602391743354,-0.00031898105196979585,0.00022245689394024466,-0.00036414336257446816,2.3689701148906692e-05,0.00010358235753292734,-3.526473453518644e-05,1.802953140540618e-05,-3.5628359523383746e-05,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R350,243503,0.09897929976100142,-0.317906575848203,0.003164512140016887,-0.004018381697845692,-0.0001395325037256028,-0.0011480661511768981,-0.00022126288289513082,-0.0027482655169548003,-0.005238066836630924,0.01071161849468771,-0.0011276290759667429,0.0025379666736138422,-0.00639477741866676,-0.00547140679400766,0.0021862708270472286,-0.005047383352488539,-0.0010720899333816598,0.00011387317073855342,-0.0015273962754191362,-0.00021280119791737252,-0.0007430877784827616,-0.001516231064803907,0.0018650463403430831,-0.0009201987220458205,0.0007962427631867608,0.0013350775011382772,-0.0008873868438995457,-0.0032390027002188898,0.0029320807463220824,0.0019975520431880283,-1.6674367995426063e-05,-0.001102541567004749,0.0006947011971774907,-0.0007260438152697401,0.0005521154541049891,0.002761455845869918,-0.0014039675524505557,0.0012978500404244337,-0.0007154551346610318,0.0009943357984313122,0.0018238911934182248,0.00107372606522146,-0.0002039667033080623,-0.0009572576886843873,0.0008293782619012066,-0.0006300557729018126,-0.0023286594302225957,0.0010062453861089868,0.0005178780814743679,-0.0012875245346895695,0.0026159494625221805,-0.002377477725300177,-0.001077061052621962,-0.0001722854710851262,0.0003744258991786675,1.4620216847992957e-05,-0.00044905538251797125,-0.0005016850047123026,0.0001922418140773583,-0.0010027972082077906,-0.0008452045112409352,0.0002775014050224064,0.0002637898596888847,0.0016692047911295417,-0.0011095226916676374,-0.0005421385730342715,-0.0013165197161647576,-0.00010296231271821757,0.00045544147534676494,7.38722266733551e-05,-4.344171790416919e-05,-0.00033547484166325823,0.0005237961412694124,-0.0002794555699991865,0.00041301499607895186,0.00013036536222923127,-6.976897359127237e-05,2.089960517090523e-05,5.390737723761399e-05,-5.663252148650122e-05,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
