sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83
R114,243276,0.3270045673723931,0.012291662432196307,0.17438846776173103,0.03851029744761014,-0.027478845091332974,-0.02244817359030838,0.045464054194355265,-0.0429083239975638,-0.010586788252179182,-0.000798162159666793,0.028719616995772846,-0.053192389690405906,-0.010241966201940792,0.011857472897738757,0.009214793193665484,0.03895929761153642,-0.05639472197452917,-0.004735253613214817,0.0127531686986062,-0.009956945311609242,-0.00364179041008113,0.03141180136977672,-0.03371669510817626,-0.0014104555062083247,0.07691701478780798,0.0023265098950778613,0.035626396338355626,0.05955666604514182,-0.012950766739115025,0.00923410017439678,0.02792541798620764,0.006321169050897632,0.005307789755367752,0.01548170449220295,-0.00035574400248920384,0.001040697712945562,-0.011523828033761518,0.001972972169087997,-0.023492637250157666,-0.025430723769740992,-0.010376143372530145,0.021991392694339387,0.008029790789360943,-0.010206418091826487,-0.0037139447910670836,-0.000953563417769674,-0.0022986839858292864,-0.000249659468259304,0.0035515769237931386,-0.0025552687815769783,0.01308003045525471,-0.009410114133659015,0.00764243623601253,-0.0008853025509011149,0.0033753951022367267,0.0003624782444364397,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R232,243392,0.15962554557440642,-0.01441024178229149,-0.40246285473819743,-0.25821248436725047,-0.1052075448579996,-0.005868605892107441,-0.013553847739964061,-0.005222786573450034,0.017246464019284466,-0.006493278181628357,0.011306290284136974,0.007431493936324231,-0.008122099278648359,-0.013280543016679027,-0.005067856788178489,-0.020875817462244352,0.01884932896484996,-0.0008251664891104018,0.011478143807969682,-0.0161039460265788,0.026277127371772176,-0.04811518267933811,-0.03992262761412374,0.020856277240555506,-0.006412235196378874,0.021844374159757603,0.016801507496855224,0.021035093480686662,0.001256218425114782,-0.034323691170942784,0.02320884597039649,-0.004810453499236109,-0.02763033523271523,-0.0293452966608224,0.00489755072460947,0.030252907832659933,0.0486750132925339,0.021261355536858116,-0.019229264978250355,0.021837762396893712,-0.015709229632926352,0.003241900896050923,-0.004753521651730975,0.029099206564665317,0.010843487521323988,0.009657931667277058,0.010604394232762389,-0.002768649495280157,0.002523848068652856,0.00764156612458898,-0.005611766499670376,-0.007340478916374879,0.00134830179324144,-0.0026006720893847358,-0.000833671157240584,0.00038496923869078137,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R233,243393,0.16933851558167715,-0.01233595334560185,-0.4035293283278085,-0.23274584540542745,-0.04923161318807484,-0.06279076730501072,-0.02887268228645358,-0.0037497817717727514,-0.019942111437529417,-0.007278311724831591,0.0346706443448368,0.0033812498704222167,-0.0006990430366861384,0.0013289338772926335,0.003508078158258734,0.004645361687235585,0.008197158442566582,0.005358178935975311,0.005560532727282035,0.008588830634471085,0.0007959056588035666,-0.015531847238522788,-0.015600000478102317,0.012169000785881246,0.009646920145176392,0.021818869197190508,-0.01819248163873921,-0.024539262594474837,-6.149206430502108e-05,0.0031708490252614647,-0.022511561040927074,0.0020484390099803035,0.00570385837742288,0.028726253762189177,-0.0005938506330588273,-0.0207184993725704,-0.04934042650495808,-0.022530478188685386,0.025957333505089438,0.002940424659191536,-0.016890543356416522,0.016743100134420267,0.0015198473521606899,-0.0095817258684961,0.025876264500490766,-0.008673478036616122,-0.028268868579755257,0.004256038019809886,0.01422496997118363,-0.0011285463019083846,0.016108982206076247,-0.007117645314832583,0.0019485382943108624,-0.0022930327563686127,-0.005741318749625008,0.0009926688299806378,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R306,243459,0.11373801375683491,-0.07659583365014087,-0.24950535514208966,-0.1798498546779523,-0.0523561770869595,0.23571961059565827,0.1745875266018886,-0.019668014179885517,0.11348588616185733,0.034769598835452505,-0.14928289604450226,0.052267659111443675,0.016710141820100225,0.01354220445908185,-0.016934765556275762,-0.009119602714857398,-0.02510409548830747,-0.005799386945181101,-0.003966590178701572,-0.018405560664048498,-0.022317192729771545,0.059659336900414146,0.05244768428446622,-0.06920927905438962,-0.041952022307479374,-0.05545293816856297,0.006606170252521075,0.008468176771735444,-0.006809918376656296,0.006830955930062952,-0.03320181716937856,-0.001067134010997774,-0.024735916396971185,0.012335587032542266,-0.008414742591023002,-0.0018434638471412107,0.007748152279071993,0.009052255564526289,-0.00398046972237978,0.003991012907188505,-0.012356793994156245,0.013375020309452177,-0.009745248464656913,-0.0103636865891418,0.004618759243291399,-0.00017248608310459793,-0.005897426507918141,-0.00017970937042857067,-0.0034992311519900423,-0.0036696173375666712,0.0036421748686067115,-0.0036214941903885763,-0.0016341550773238873,-0.0012082854374951464,-0.0011776406068407781,0.0002072909795244701,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R412,243535,-0.4672360276379511,-0.47580492633256904,0.06792758372063525,0.005043570380047039,-0.011828055845488438,-0.004187833761712904,-0.05472695207568414,-0.0729572883776798,0.013434944140504937,-0.06139553809885655,0.017766488789543747,-0.035412787351809194,0.12961570333366962,-0.16342181790066262,0.05768067239701494,-0.00013843522590749216,-0.011167786200486397,0.017928165180471325,-0.008352446875758762,-0.028922395870630283,-0.08384854416203893,0.013781524139504417,0.03924532091336653,-0.05594331912623612,-0.028793149553684644,0.06375971714767083,-0.013421334538117904,0.05661558308147289,-0.04734260321110471,-0.06875115610929379,-0.042271691370171435,-0.004844507883058311,0.01792924254799943,-0.012489531383373626,0.04260631493855716,0.0018971581572827377,-0.023693733657427836,0.005353420746134147,-0.0069849757411315,0.0029015137121751835,-0.000133519662714186,-0.008008083784028574,0.011122185364291246,0.005141445431243713,-0.004991324122273533,-0.0028036739511839263,-0.00021641145498779005,-0.002613644761999322,0.002001914889126259,0.000624129094509388,-0.0007794253819642145,0.0022607751001693563,0.006276245895761417,-0.00167075781492405,-0.00016247686209983916,1.6050670441310414e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_004,243552,0.3234861901332583,0.009728396321950078,0.09314432259862367,-0.06497160241809448,-0.1435946233468133,0.03974138333317661,0.017813425658750427,0.03314614076854729,0.10107957877750247,-0.007367759587298392,-0.02774076860897363,0.06060348867761819,0.021068245335233975,-0.014862517581468374,0.01329027113434542,0.00681616553444877,0.019263406555107727,0.006153443199798505,0.054977099059702744,-0.010706702635703924,0.003338046641650638,-0.007189125354209359,-0.0515770413684456,-0.02438089214339479,0.027986520697424033,0.009094101426816006,-0.02046637779987574,-0.03641883641708099,0.008950057106078851,-0.04241145247815448,0.022810325580238395,0.011668791632594606,0.02078287820770061,0.06439872912112171,0.015355911541691908,0.0034200669205810856,0.020118643784806153,0.021914376714394293,0.0109417734278264,0.0011368070846699931,0.0033178819067840783,0.017010890049231422,0.01686427137791505,0.005878067399008787,0.0017489538674945657,-0.0029752710208346754,0.0023054941108664228,0.00017420150278080372,-0.0014953640591743216,-0.0003746644457488677,-0.0027096435051527923,0.0032089562401212764,-0.004620954388181047,-0.0012777660560205372,-0.001754839136080624,-0.00015601426625413484,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_007,243553,0.34209695278211244,0.011488832453773579,0.1381183740146547,-0.004709561780240311,-0.10355062656707159,0.03218709598639018,0.03640073839320911,-0.018311953672329722,0.03216801985973491,-0.0044174562008527435,0.010336331791854152,-0.0029349500535406957,-0.0021428385646063354,-0.005560950821035151,-0.002955252673637007,-0.015467382614710565,0.021500585757566495,-0.00018376435732026823,-0.03141203143996836,0.018929340567594446,0.0009002699189654367,-0.018629775380580825,0.017313358590566486,0.015018799150279974,-0.03588977375282704,0.0022768922421511806,-0.012300166565656108,-0.016286531072923476,0.0009539206502707359,0.02220663559257272,-0.01356160088479773,0.000999929592608892,0.03135723324415693,0.009085491425339867,0.0007697468070779276,0.01468128198442822,-0.020687670583072422,-0.03382174774549907,-0.003280114465681518,0.0037718415488103567,-0.0006102672204594232,0.006083876854097757,0.011852535051006665,0.01339316495664459,0.008189578080841003,-0.008555015196044015,0.009652598871027176,-0.0009170352701565928,0.000895574077799639,0.0019039194012871732,-0.004723293711749372,0.007093967006775041,-0.001153670102970778,0.0019160333406165982,0.0027036133740986255,-0.001300115683433888,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_001,243564,0.329034214040177,0.012706475436276298,0.19476891601274937,-0.0010864387631501938,0.024802185217663805,0.029715073092741424,-0.04043507907436256,0.005352624358511817,-0.056664979405274866,0.004103449903713266,0.006739444988656035,0.005817890895114118,0.0018577138586384995,0.004979513044992011,0.0052362280713863325,0.01874563127250144,-0.025205760103185117,-0.0048204073176071685,-0.04280059236928261,0.02695176429909027,-0.010613657525470286,0.00013127562326374105,-0.025085998052734437,-0.0034393499841249616,-0.03429731290328397,-0.006192239221066318,-0.005791101238381077,-0.014237052177462467,0.007822593630732297,-0.028800376332052926,0.030163590557341573,0.011308431452451601,0.023437284383785218,0.05169800117563532,0.02422298714285293,-0.007988577648674947,0.025369345921731914,0.023902551870237824,0.025882010632912917,-0.013660148828958489,-0.02774006434645023,-0.015023866013973998,-0.0025689367844936276,-0.0012003479869140423,-0.010522655179259396,0.0019586001744108616,0.0044087943307673915,-0.0007032774557363305,0.015621018213460307,0.01297092816449881,0.0019724968231200936,-0.011564312402915316,0.004576475392764057,0.003500177997088825,0.00045563239372442424,-0.0007661795081585745,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_002,243565,0.33726818582834783,0.012391095668887186,0.16065894805247663,0.09044544592026336,-0.042495966414421445,-0.030859039501975657,0.03386656682787424,-0.027904176927757453,-0.007722407738390297,-0.0009413333038027587,0.01817215576873398,-0.0033823391863830373,-5.125246559228084e-05,0.002623498989044412,0.005495226980902795,0.015858426166728896,-0.01840413640349979,-0.004734025997729574,-0.034366572945252714,0.027209523669995777,-0.006566593740547258,0.012867626165661021,0.00426872837500964,0.031287254317653085,0.04053908011079386,0.024909152585549297,-0.007262159841821977,-0.0070267149028567745,-0.0035220337760112153,0.02536446513042338,-0.0347468039617793,-0.007267071483939589,0.007759469129621385,-0.03304482583711678,0.011288390123051682,0.004649944971142346,0.008444992278946219,-0.00401987600089626,-0.003413000977310637,0.002064724014053789,0.003091145241851905,-0.007952492552597683,-0.00400243032515017,0.0011187816312747648,-0.009006053091251291,-0.0063680484184286045,0.025114031743995752,0.007356899710075165,0.008552836626319768,-0.0038695796187607342,0.015717771406847745,-0.010539530229438572,-0.007002954528963782,-0.00660207774294701,-0.0024237010187400953,-0.003987197947929502,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38_OFAV_004,243574,0.3274144961563662,0.012446690915766641,0.18016559967025497,0.0475514184437972,-0.023260426001246705,-0.0487844253641285,0.022469812263397535,-0.02164560416638043,-0.019080607349097566,0.00236481202157103,0.013916498348559861,0.010437482674824174,0.002621348719031317,0.00899897506764845,0.007460201869650162,0.03026101142483581,-0.03847780470848966,0.004818136974797053,0.06702325466447503,-0.034414268550204054,-0.013795678220013534,0.04054644282131438,-0.04185025840221915,0.0072112041014064055,-0.02596983263200487,-0.027930021279184706,0.03606967364775781,0.05357012360817955,-0.010897313547135553,0.006490096386232548,0.015260888490501922,0.003953556594002611,-0.0064671025769773805,0.007930629839749789,-0.01663413560761573,-0.0007259218102470063,-0.024187095121236065,-0.024857914922319983,0.0136851938420562,0.03603346585280249,-0.012435214378120323,-0.011079580736063062,-0.024547184576640072,0.004636606722194046,0.011691924417775041,-0.008847483035480275,0.007282758654375742,0.005159741640430734,0.0039024804358777153,-0.0018799373983183958,-0.0014468177422764907,0.0056904380781368,0.002942766963145362,0.004015355174506211,0.0011599602330125954,-0.00014764442458515452,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
