sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83
R306,243459,-0.14637109890690783,-0.3340492899355551,-0.29486308358102736,-0.08377852275033508,-0.08320756033844542,-0.11742193860738767,0.1765066246042166,0.007813881128770944,-0.06460519814313301,0.009889245819082277,0.00322572248939294,-0.06431803281322679,-0.022678928341377944,0.022753819157198346,-0.01206342973016655,-0.014041084530536324,0.013139705168810207,0.0034386887101686223,0.0015938379139957583,-0.010267225693037696,0.005006764211759428,-0.002274929536845092,0.003824490115592863,-0.0011017434453317852,-0.0015057257150399065,0.00326187871597519,-0.0039117461002924365,-0.0009356639286886258,0.002619080272601977,0.006147486240808829,0.006111119264117332,0.000986280475006273,-0.0014489934846045641,-0.0018125124131731063,0.0001855186240791901,0.0016864757023822227,-0.0005767851453927145,0.00026951330771461305,0.00013567521698506867,0.00010865687512840393,-0.00019391514792480323,-0.0004516522933631249,-8.991744782421887e-05,0.00010237843217063964,-8.938090043756625e-06,3.468831697237496e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRTO24_SDS_53,244160,-0.11945401821048784,-0.44829956999453013,-0.20991703223041253,-0.1433899835319592,-0.11019429465256343,0.052424124414752596,-0.022225360210265083,-0.0028704979905542823,-0.0038854242817300154,-0.0010566134125218638,-0.015910150483695026,0.001103446662016748,0.00794345418715584,-0.0014201135769410182,-0.0035649399859355338,-0.015546113441844473,0.015920794717874005,0.008150807743184777,0.006825113481009267,0.022472748598438615,0.012046092684453898,0.0026949741933349125,0.014527821821851639,-0.019903962119027882,0.002428746853437941,-0.00397952093254763,-0.002728628745034614,-0.0026570644724118594,0.0007166912338620687,0.008351951738005677,-0.007155206599674121,-0.002312774131926141,-0.0028710180379780746,0.008844466908657006,0.0014188851841318549,-0.004938377137057955,-0.0020610984505067906,-0.001062457648274969,-0.0002390490275856516,-0.0005440409461048174,0.0016006533525075685,0.0001448034133573985,0.0008623364507729127,0.00031644947654455523,0.00010826687507796264,-1.8760000967365267e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R232,243392,-0.11169162667510033,-0.436901511703908,-0.2140173221239408,-0.14979647083254188,-0.09065867779498986,0.036742557621445786,-0.010646158051712538,0.01779034283007357,-0.00750400446126247,0.0023237610145032334,0.037335721171443445,0.013007743157798062,-0.02556681200476635,0.0006397000534797989,0.0069567898303928444,0.008208877733812235,-0.02353404874898344,0.008023795706171578,0.001196485804837155,0.030917068586648992,-0.008780384747946292,-0.011293215479026798,-0.007542983202070908,0.004084198404110319,0.0046463565770576126,-0.007840859224070882,0.004810863744515485,0.006751452114086495,0.0033494598663543476,-0.007799724877482461,0.005730300703985181,0.003038806380211054,0.00507033471664552,-0.004678871811853469,9.315446403228369e-05,0.002565159669886304,0.00203426256503879,-0.0009461767653522857,-2.880206653445407e-05,0.0005158833368764357,-0.00124906520018186,0.0004017247125164089,-0.00026797962443035085,-0.0002858565615207431,-3.438333020229015e-05,1.6895508051255542e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_004,243552,-0.026481957963255184,-0.06465915252995988,-0.04852588432655924,-0.015969610589579866,0.04532915832326881,-0.010895295795597736,-0.008838453073571787,0.0004530368373188013,-0.04262514139721556,0.007389568867312556,-0.010488877986908209,0.005496371722696204,0.004614701757064532,-0.0033124522611031647,0.0038054399935949757,-0.010703773149383445,-0.014897641613249892,0.0037003407773558246,0.0019609394253755187,-0.010620679003356275,0.01389875098738111,-0.0041561557484406444,-0.0028035917740273004,-0.000348180890648001,-0.0010227104061448368,0.0032506591083803875,-0.011807437142568381,0.000648415277360823,0.0033822815391272593,-0.0017664956080568573,-0.005223427939651672,0.0016921023427202376,-0.009288941125236021,-0.0024382936494823154,-0.0020319613104619826,0.0018930872533193836,0.005781440828361329,-0.0019358076228150538,-0.002140288824100302,-0.0008535958025923226,-0.0010377308624877615,0.0012299025473060036,0.002626148835864946,-6.38368326069722e-05,0.0006843216132246552,-8.541854814521774e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRTO24_SDS_156,243998,-0.10677926097724243,-0.4581207743532694,-0.01423416243618883,-0.12618130187633214,0.16887640994337505,-0.04423992740398761,0.012520742171756045,-0.005289138381202525,0.09221391558796183,-0.03739720543197114,0.0007165947263485477,0.029745409026691524,0.028053687723463627,-0.016877207799212972,-0.013074297084951704,0.026624519622342243,-0.006628203660806681,0.0107573363210451,-0.01063083155258374,0.00949490886513145,0.0010303779419573221,0.0006189634373156295,0.0021144825060290073,-0.0068365249871456535,-0.00268719038936281,0.0014052667749852343,-0.0001850739643898853,0.00039910498025943456,-0.00039535572393364243,-0.0011268015832344145,0.0011222427583932556,0.0001886011797507766,0.000877950988771727,-0.0009613524190244415,-0.0009197722002538861,-0.0005748762764487334,-0.0009809401658851288,-0.00122132903071696,-2.5189537105306444e-05,0.0006957527409369257,0.0005028677803102829,0.0007739007581133133,-0.00017779079685552147,-0.00012908211644482875,-2.8650717414919655e-05,1.570107265158967e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R114,243276,0.005052760080887076,-0.010651611797806463,0.0197968037661074,0.010386390278676601,-0.00814019716201026,0.004742671702479614,0.005713661773020822,-0.0021210110496935413,0.016751253409828536,-0.011377796185089176,0.008187416210636764,-0.004881642275354661,-0.007166827544462195,-0.007665174176455631,0.0073557018236549716,0.007135331784485595,0.002784534160596998,-0.004733184368553798,-0.005779678533206779,9.601809866674265e-05,-0.005048613872135808,0.012064714037506126,0.004861078300582093,-0.0021784146690284312,0.007181623296043372,-0.0005978706179062633,-0.0041570510512176,0.003106161834635121,0.01033372522908355,0.006524554308491987,-0.006687327153129763,-0.0022538423665511747,-0.0018219272488217248,-0.004156682559023644,-0.006034840818790423,5.153953105405856e-06,0.0014126011214403477,0.009275152818200644,-0.003020864092932761,0.007297739424884807,0.002893979617093921,-0.0012090298165903907,0.0007542287403540212,-0.00018933028875317727,4.070327570810758e-05,-8.033700779120355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R233,243393,-0.07353848644951887,-0.33953294557635894,-0.05945137312753532,-0.08336646430748525,-0.07140969167505543,0.05396501268919156,-0.09427666730434228,-0.003828732996560362,-0.054417461737788705,-0.005216686021143487,-0.01346448514947707,0.033693163186936735,0.006734440102770099,-0.013460980162550968,0.008667725411417745,-0.006077458094355021,0.013087083791646454,-0.00476918475407232,-0.005722934915645454,-0.01943448800348884,-0.01770360341330549,0.0077298622453196705,-0.006219901556670298,0.010666171039226699,-0.010249981176091667,0.015751547141317362,-0.006291533367039815,-0.004223728052785826,-0.0025000515170312504,-0.0008330883549636603,0.002365760869491783,-0.0013182790123165513,-0.008740785078244266,-0.013444912479573457,0.0008977155385539448,0.005904007925873691,-0.00029276244255364354,0.00046054612936862664,0.0005514506755423013,0.0016435593305214355,-0.0014803346349478341,-0.0004376341177911696,-0.00099650519675363,-0.00018423121233273904,-4.231962068801171e-05,1.9585175466767208e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_007,243553,-0.011426931258906713,-0.043069076464669974,-0.006202484269054384,-0.012398152952248411,0.024207577843494265,-0.00018456272973901513,-0.005811091199930609,0.0018044859587301209,-0.04209168537285472,0.006398257084266252,-0.0013886710510415334,-0.018837176593198144,0.014452618314849338,0.01797489130644789,-0.004303625342979173,0.011459435870766435,-0.008081261268320346,0.010106195152779869,-0.002841727490253825,0.006672671537072225,-0.001159269885805431,0.00877792364552389,-0.010232620572272436,-0.003550418007801941,0.010707090345147491,0.016015358954196347,-0.006869431322794843,-0.0013190729430404085,-0.009502049104255438,0.008344981869792418,0.0023266249910687286,-0.0010202895732367842,0.01061880608133371,0.0021216569816991326,-0.0032178311864307623,-0.0020555564572647986,-0.006554658496775259,-5.5604379350930375e-06,0.00040868897662493233,0.002674869853882495,0.0005107595771046605,0.0014457124196676336,-0.0002163727999219395,0.0006058591256095508,-0.00018605254785844698,6.013669695272336e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_001,243564,-0.008630288049765625,-0.07305330111648271,-0.0067210515828441154,0.11557854733399814,0.007246858775738217,0.0016906311093054678,-0.006907378186983832,0.0052720383637587,-0.024378440639044957,0.0019358957519477384,-0.0028179281183969814,-0.020394835690511905,0.009084877224497143,0.0070073833446779,0.002716031870407522,-0.015887212686613653,-0.014058867775856403,-0.005760507957962579,0.003621538755016953,0.012912856110321499,0.010395966191623,-0.006852066255124563,0.004186110110123796,0.008467085581825403,-0.027751017277676506,0.001330421091409173,0.0042124409361993425,0.0025705637986262408,-0.0058060049456533196,-0.0030241306217849285,-0.009024343152221679,0.008018459183514242,0.00877535835067436,-0.003971212209245173,7.024795253957648e-05,-0.0015257444907376457,-0.002921761517136293,-0.0010701167968731784,0.0008872188555317325,0.0019445491478904532,-0.0006410469109190578,0.0011028547747127296,0.0004859293646352912,-0.0006904410700653236,-0.00012992230355295413,6.5344849473676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_002,243565,0.003773771044885172,-0.02429734619334787,0.024259058891670033,0.0023905690949720367,-0.013276736123421696,0.0012028799381176654,0.010217478434642878,-0.003964332982368046,0.010306747427454261,-0.009192226926801675,0.006144664263163859,-0.01100303538349147,-0.011581520257122118,-0.006505459187406061,0.0011598793250230197,0.004677135011410038,0.0028667431073787263,-0.00391850576681268,0.0008316034746668339,-0.0021836682763339693,-0.0002808769783499344,-0.00037784796671363346,0.002786707385796023,0.004212013428451622,-0.001670555423696533,0.0004901324236888884,-0.00760791064809124,0.007122387664171069,0.004262173370078287,0.0051166312980217895,-0.007715636412663257,0.0011324549321476997,0.005051080562734537,-0.003556039322718591,-0.007244247003847281,-0.003540049256902824,-0.0016203916362781384,-0.002336190968859313,0.004821060002606384,-0.003176054163287949,0.0011155014312516402,-0.0007401213153162389,-0.0011041373419548395,-0.00045015503431590314,-0.00034389253379876983,0.0003804518232509145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
