sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_site,collection_date,collection_region,collection_subregion,collection_depth_ft
KL-003,KL-003_S82_L001_R1_001.fastq.gz,KL-003_S82_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Diploria,labyrinthiformis,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,31.824148
KL-015,KL-015_S75_L001_R1_001.fastq.gz,KL-015_S75_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Diploria,labyrinthiformis,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,32.8084
KL-025,KL-025_S86_L001_R1_001.fastq.gz,KL-025_S86_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Diploria,labyrinthiformis,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,31.16798
KL-17,KL-17_S76_L001_R1_001.fastq.gz,KL-17_S76_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,32.8084
KL-19,KL-19_S85_L001_R1_001.fastq.gz,KL-19_S85_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,32.152232
KL-27,KL-27_S87_L001_R1_001.fastq.gz,KL-27_S87_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Diploria,labyrinthiformis,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,31.16798
KL-29,KL-29_S88_L001_R1_001.fastq.gz,KL-29_S88_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Diploria,labyrinthiformis,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,32.152232
KL-33,KL-33_S89_L001_R1_001.fastq.gz,KL-33_S89_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Pseudodiploria,strigosa,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,32.480316
KL-35,KL-35_S90_L001_R1_001.fastq.gz,KL-35_S90_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,30.839896
KL-37,KL-37_S91_L001_R1_001.fastq.gz,KL-37_S91_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Pseudodiploria,strigosa,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,31.496064
KL-5-foamy,KL-5-foamy_S83_L001_R1_001.fastq.gz,KL-5-foamy_S83_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,natans,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,28.543308
KL-7,KL-7_S84_L001_R1_001.fastq.gz,KL-7_S84_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Meandrinidae,Dichocoenia,stokesii,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,29.855644
KL-9,KL-9_S74_L001_R1_001.fastq.gz,KL-9_S74_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Astrocoeniidae,Stephanocoenia,intersepta,25.11901093,-80.30082703,Little Grecian,20010621,FL,Upper Keys,32.8084
KL-41,KL-41_S92_L001_R1_001.fastq.gz,KL-41_S92_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,25.11186028,-80.28582764,Outer Reef,20010621,FL,Upper Keys,17.716536
KL-45,KL-45_S93_L001_R1_001.fastq.gz,KL-45_S93_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,25.11186028,-80.28582764,Outer Reef,20010621,FL,Upper Keys,17.388452
KL-49,KL-49_S280_L001_R1_001.fastq.gz,KL-49_S280_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Meandrinidae,Dichocoenia,stokesii,25.11186028,-80.28582764,Outer Reef,20010621,FL,Upper Keys,17.716536
KL-53,KL-53_S281_L001_R1_001.fastq.gz,KL-53_S281_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,25.11186028,-80.28582764,Outer Reef,20010621,FL,Upper Keys,17.388452
KL-56,KL-56_S282_L001_R1_001.fastq.gz,KL-56_S282_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,25.11186028,-80.28582764,Outer Reef,20010621,FL,Upper Keys,17.388452
KL-59,KL-59_S288_L001_R1_001.fastq.gz,KL-59_S288_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,25.11186028,-80.28582764,Outer Reef,20010621,FL,Upper Keys,18.04462
